Rk,Player,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
41,Keane Lewis-Potter,867,6085,3211,98,69,35,51,20,965,156,3093,2024-2025,23,eng ENG,Brentford,eng Premier League,38,DFFW,41f08ac8
42,Christian Pulisic,859,6117,3406,121,75,37,57,40,985,191,2478,2024-2025,25,us USA,Milan,it Serie A,34,FWMF,1bf33a9a
43,Bradley Barcola,855,5835,3505,137,65,95,64,20,1019,374,2181,2024-2025,21,fr FRA,Paris S-G,fr Ligue 1,34,FW,a0d55a09
44,Khvicha Kvaratskhelia,849,6239,3429,124,88,65,44,46,1026,220,2094,2024-2025,23,ge GEO,2 Teams,2 Comps,31,FWMF,dea88efd
45,Enzo Millot,848,4659,1826,44,34,12,46,36,1067,123,1843,2024-2025,22,fr FRA,Stuttgart,de Bundesliga,29,MFFW,f76022e7
46,Eliesse Ben Seghir,843,5569,3024,85,83,25,59,35,988,170,1750,2024-2025,19,ma MAR,Monaco,fr Ligue 1,33,MFFW,3bd65247
47,Mohammed Kudus,842,5574,2613,98,59,42,77,93,989,216,2590,2024-2025,23,gh GHA,West Ham,eng Premier League,32,FWMF,b62878a5
48,Alejandro Garnacho,840,6365,3245,141,72,67,64,48,888,290,2199,2024-2025,20,ar ARG,Manchester Utd,eng Premier League,36,MFFW,7aa8adfe
49,Eberechi Eze,840,5067,2379,68,48,22,55,45,907,153,2588,2024-2025,26,eng ENG,Crystal Palace,eng Premier League,34,MFFW,ae4fc6a4
50,Junya Ito,837,5599,2986,100,74,25,85,39,1034,256,2690,2024-2025,31,jp JPN,Reims,fr Ligue 1,33,FWMF,dbd3a428
51,Charles De Ketelaere,832,5658,3023,108,75,41,52,50,1008,211,2070,2024-2025,23,be BEL,Atalanta,it Serie A,36,MFFW,2ef7c612
52,Kaoru Mitoma,830,6659,3906,146,82,56,53,23,966,291,2603,2024-2025,27,jp JPN,Brighton,eng Premier League,36,FWMF,74618572
53,Leandro Trossard,828,5024,2218,80,55,30,66,52,956,226,2546,2024-2025,29,be BEL,Arsenal,eng Premier League,38,FW,38ceb24a
54,Mahdi Camara,828,4647,2478,58,40,14,38,28,999,112,2659,2024-2025,26,fr FRA,Brest,fr Ligue 1,34,MFFW,8577e60a
55,Ademola Lookman,827,5454,3170,142,70,81,72,51,974,316,2247,2024-2025,26,ng NGA,Atalanta,it Serie A,31,MFFW,7c104bb7
56,Ritsu Doan,827,4440,2089,64,54,26,58,62,1031,178,2862,2024-2025,26,jp JPN,Freiburg,de Bundesliga,34,FWMF,d01bbb6f
57,Luis Rioja,824,5892,2883,97,58,30,42,40,1041,231,2854,2024-2025,30,es ESP,2 Teams,es La Liga,37,FW,eb3dd471
58,Dejan Kulusevski,823,6157,3208,120,67,40,77,74,895,210,2389,2024-2025,24,se SWE,Tottenham,eng Premier League,32,MFFW,df3cda47
59,Anthony Gordon,818,6099,3295,121,62,56,36,38,924,214,2434,2024-2025,23,eng ENG,Newcastle Utd,eng Premier League,34,FWMF,2bd83368
60,Kevin De Bruyne,812,4001,2076,51,51,20,26,28,1021,150,1702,2024-2025,33,be BEL,Manchester City,eng Premier League,28,MFFW,e46012d4
61,Gaëtan Perrin,798,5341,2838,83,61,37,46,63,888,125,2691,2024-2025,28,fr FRA,Auxerre,fr Ligue 1,34,MFFW,10dd88f9
62,Jeremy Doku,796,7581,4865,213,95,109,59,59,854,286,1516,2024-2025,22,be BEL,Manchester City,eng Premier League,29,FWMF,fffea3e5
63,Morgan Rogers,794,5594,3232,114,68,33,114,74,956,188,3114,2024-2025,22,eng ENG,Aston Villa,eng Premier League,37,FWMF,2e5915f1
64,Federico Dimarco,789,3200,1822,47,35,13,18,10,1007,232,2177,2024-2025,26,it ITA,Inter,it Serie A,33,DFFW,970b8574
65,Leroy Sané,787,5003,2266,75,47,38,65,27,953,266,1637,2024-2025,28,de GER,Bayern Munich,de Bundesliga,30,FW,2b114be3
66,Sávio,783,6489,3559,137,45,75,42,38,852,246,1766,2024-2025,20,br BRA,Manchester City,eng Premier League,29,FWMF,fe6e7156
67,Chris Führich,782,6087,3161,114,68,54,37,26,905,202,1981,2024-2025,26,de GER,Stuttgart,de Bundesliga,33,MFFW,0cf778df
68,Amad Diallo,782,5295,2750,109,53,66,42,35,854,200,1901,2024-2025,22,ci CIV,Manchester Utd,eng Premier League,26,MFFW,9dc96f10
69,Ludovic Blas,781,4961,2376,83,46,31,71,46,919,184,2293,2024-2025,26,fr FRA,Rennes,fr Ligue 1,29,MFFW,6191093d
70,Carlos Vicente,781,4788,2188,104,48,28,83,49,898,226,3092,2024-2025,25,es ESP,Alavés,es La Liga,37,FWMF,90df343e
71,Rafael Leão,780,5745,3058,123,71,67,53,36,940,262,2323,2024-2025,25,pt POR,Milan,it Serie A,34,FW,20730eae
72,Luis Díaz,780,5710,2960,108,55,56,55,49,933,293,2399,2024-2025,27,co COL,Liverpool,eng Premier League,36,FW,4a1a9578
73,Rubén García,779,3542,1382,37,46,13,39,21,969,157,2413,2024-2025,31,es ESP,Osasuna,es La Liga,36,FWMF,5c96b017
74,Omari Hutchinson,779,6035,2976,97,39,37,80,58,893,159,2583,2024-2025,20,eng ENG,Ipswich Town,eng Premier League,31,MFFW,bd9553e6
75,Pablo Fornals,777,3245,1523,32,34,7,24,16,911,85,1827,2024-2025,28,es ESP,Betis,es La Liga,26,MFFW,82927de4
76,Julián Álvarez,776,4621,2198,79,51,29,62,40,892,162,2509,2024-2025,24,ar ARG,Atlético Madrid,es La Liga,37,FW,15ab5a2b
77,Zuriko Davitashvili,764,5467,2388,95,56,47,74,57,905,224,2778,2024-2025,23,ge GEO,Saint-Étienne,fr Ligue 1,33,FWMF,88b4d2e3
78,Omar Marmoush,762,5293,2770,102,73,60,111,56,844,203,2623,2024-2025,25,eg EGY,2 Teams,2 Comps,33,FWMF,0e0102eb
79,Son Heung-min,761,4913,2613,96,49,44,25,32,867,265,2110,2024-2025,32,kr KOR,Tottenham,eng Premier League,30,FW,92e7e919
80,Dan Ndoye,755,5756,3035,132,54,50,82,46,825,231,2143,2024-2025,23,ch SUI,Bologna,it Serie A,30,FW,8e697a8f
81,Pedro Neto,746,6336,3342,126,57,45,45,30,838,253,2269,2024-2025,24,pt POR,Chelsea,eng Premier League,35,FW,7ba2eaa9
82,Loïc Nego,742,3703,2302,64,38,3,19,9,900,123,2459,2024-2025,33,hu HUN,Le Havre,fr Ligue 1,31,DFFW,c3b6fa1e
83,Jarrod Bowen,741,5306,2501,109,46,61,70,77,834,212,2973,2024-2025,27,eng ENG,West Ham,eng Premier League,34,FWMF,79c84d1c
84,Iñaki Williams,739,4233,2259,107,39,49,65,44,898,302,2652,2024-2025,30,gh GHA,Athletic Club,es La Liga,35,FW,6a99e0b1
85,Jacob Murphy,733,4416,2339,79,40,27,32,37,911,231,2360,2024-2025,29,eng ENG,Newcastle Utd,eng Premier League,35,FW,de112b84
86,Bilal El Khannouss,732,4494,2038,73,45,12,38,38,851,89,2182,2024-2025,20,ma MAR,Leicester City,eng Premier League,32,MFFW,f7042636
87,Moses Simon,731,6203,3281,147,81,60,67,55,778,222,2609,2024-2025,29,ng NGA,Nantes,fr Ligue 1,32,FWMF,5f3eaaf5
88,Joelinton,729,3598,1786,40,26,9,39,53,934,110,2393,2024-2025,27,br BRA,Newcastle Utd,eng Premier League,29,MFFW,c17bfb65
89,Valentino Lazaro,726,3080,1385,35,36,7,33,12,868,131,2307,2024-2025,28,at AUT,Torino,it Serie A,33,DFFW,016ff750
90,Iago Aspas,724,3480,1573,50,39,15,35,20,876,143,1745,2024-2025,36,es ESP,Celta Vigo,es La Liga,30,FWMF,7dcf86f6
91,Phil Foden,722,3720,1782,50,30,17,36,31,894,128,1777,2024-2025,24,eng ENG,Manchester City,eng Premier League,28,MFFW,ed1e53f3
92,Isaac Palazón Camacho,716,3520,1317,30,29,7,54,43,913,123,2162,2024-2025,29,es ESP,Rayo Vallecano,es La Liga,35,MFFW,49dbab27
93,Bryan Gil,715,4663,2103,76,43,34,56,39,795,210,1721,2024-2025,23,es ESP,Girona,es La Liga,25,FWMF,7b5ab7f2
94,Diego López,715,4212,2026,76,51,24,71,27,881,219,2737,2024-2025,22,es ESP,Valencia,es La Liga,38,MFFW,c487901c
95,Hákon Arnar Haraldsson,715,4265,2002,52,45,11,42,13,872,143,1755,2024-2025,21,is ISL,Lille,fr Ligue 1,25,MFFW,e2ae54db
96,Benedict Hollerbach,710,5462,2582,103,68,52,111,94,781,214,2540,2024-2025,23,de GER,Union Berlin,de Bundesliga,34,FWMF,2a158218
97,Habib Diarra,709,3457,1837,61,37,12,30,22,885,114,2352,2024-2025,20,sn SEN,Strasbourg,fr Ligue 1,30,MFFW,6d0fe035
98,Abde Ezzalzouli,706,5210,3025,117,75,58,64,50,797,215,1984,2024-2025,22,ma MAR,Betis,es La Liga,32,FWMF,bed68338
99,Marcus Tavernier,705,4335,2068,53,51,9,46,47,790,129,1939,2024-2025,25,eng ENG,Bournemouth,eng Premier League,29,FWMF,5c0da4a4
100,Giovani Lo Celso,702,3247,1450,26,31,9,38,31,832,66,1457,2024-2025,28,ar ARG,Betis,es La Liga,25,MFFW,d7553721
