Rk,Player,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
339,Julio Enciso,608,7,69,274,283,43,608,1163,2024-2025,20,py PAR,2 Teams,eng Premier League,25,MFFW,9cfbad36
340,Oliver McBurnie,605,29,57,307,247,93,605,1837,2024-2025,28,sct SCO,Las Palmas,es La Liga,34,FW,78b8ac63
341,Alexander Sørloth,602,29,58,276,276,116,601,1566,2024-2025,28,no NOR,Atlético Madrid,es La Liga,35,FW,e92cd3f7
342,Ramón Terrats,599,23,102,273,240,25,599,1350,2024-2025,23,es ESP,2 Teams,es La Liga,26,MFFW,f36016a5
343,Harry Wilson,598,11,81,203,324,63,598,1162,2024-2025,27,wls WAL,Fulham,eng Premier League,25,FWMF,c6dc9ecd
344,Ernest Nuamah,597,13,100,214,300,51,597,1052,2024-2025,20,gh GHA,Lyon,fr Ligue 1,23,FWMF,234a703c
345,Nicolas Viola,595,8,57,294,255,34,595,1267,2024-2025,34,it ITA,Cagliari,it Serie A,27,FWMF,45392b06
346,Fares Chaïbi,588,30,108,240,246,34,588,1013,2024-2025,21,dz ALG,Eint Frankfurt,de Bundesliga,26,MFFW,357103bd
347,Joshua Zirkzee,587,16,71,303,219,56,587,1402,2024-2025,23,nl NED,Manchester Utd,eng Premier League,32,FWMF,028e70b9
348,Kamaldeen Sulemana,587,17,92,219,301,59,587,1402,2024-2025,22,gh GHA,Southampton,eng Premier League,26,FWMF,a62f8bf1
349,Jamie Vardy,586,30,61,272,260,111,584,2823,2024-2025,37,eng ENG,Leicester City,eng Premier League,35,FW,45963054
350,Pablo Durán,584,11,68,257,265,64,584,1394,2024-2025,23,es ESP,Celta Vigo,es La Liga,27,FWMF,6db116ec
351,Léo Scienza,584,8,71,248,286,44,584,1153,2024-2025,25,br BRA,Heidenheim,de Bundesliga,25,FWMF,79064bc9
352,Tanguy Coulibaly,583,7,95,228,272,65,583,1485,2024-2025,23,fr FRA,Montpellier,fr Ligue 1,25,FWMF,05ba9d7c
353,Valentin Mihaila,582,5,58,226,311,31,582,1288,2024-2025,24,ro ROU,Parma,it Serie A,21,FWMF,81a4c239
354,Ermedin Demirović,582,10,45,239,301,126,580,1855,2024-2025,26,ba BIH,Stuttgart,de Bundesliga,34,FW,ed79b7d3
355,Oumar Diakité,580,13,73,282,239,57,579,1628,2024-2025,20,ci CIV,Reims,fr Ligue 1,26,FW,44435c8f
356,Patrik Schick,578,16,52,244,287,108,577,1684,2024-2025,28,cz CZE,Leverkusen,de Bundesliga,31,FW,5d4f7d61
357,Emanuel Emegha,577,36,86,249,249,99,577,2293,2024-2025,21,nl NED,Strasbourg,fr Ligue 1,27,FW,a0c590b9
358,Joshua King,574,22,70,238,282,94,574,1673,2024-2025,32,no NOR,Toulouse,fr Ligue 1,28,FWMF,43458538
359,Vitinha,572,32,91,255,242,54,572,1328,2024-2025,24,pt POR,Genoa,it Serie A,25,FWMF,74d4cec6
360,Badredine Bouanani,571,4,53,228,299,43,570,1099,2024-2025,19,dz ALG,Nice,fr Ligue 1,26,MFFW,0400dd2f
361,Gerrit Holtmann,571,23,111,188,281,28,571,1136,2024-2025,29,ph PHI,Bochum,de Bundesliga,23,DFFW,2979c05a
362,Mathys Tel,570,9,72,206,306,54,569,1167,2024-2025,19,fr FRA,2 Teams,2 Comps,21,FW,829aa60c
363,Noah Weißhaupt,568,7,65,210,301,48,568,1240,2024-2025,22,de GER,2 Teams,de Bundesliga,22,FWMF,dd676a97
364,Dušan Vlahović,564,14,28,238,303,125,560,1784,2024-2025,24,rs SRB,Juventus,it Serie A,29,FW,79443529
365,Samuel Essende,564,10,43,262,270,93,564,1636,2024-2025,26,cd COD,Augsburg,de Bundesliga,30,FW,821550ce
366,Williot Swedberg,562,6,53,222,293,72,562,1348,2024-2025,20,se SWE,Celta Vigo,es La Liga,32,FWMF,184fe4b2
367,Cyle Larin,561,20,55,266,247,72,560,1764,2024-2025,29,ca CAN,Mallorca,es La Liga,32,FW,e7af9060
368,Dani de Wit,558,27,97,315,146,37,558,1153,2024-2025,26,nl NED,Bochum,de Bundesliga,28,MFFW,48a2b92a
369,Evanilson,558,23,56,208,299,127,557,2319,2024-2025,24,br BRA,Bournemouth,eng Premier League,31,FW,6f3cc2fe
370,Benjamín Domínguez,555,6,34,200,335,55,555,1281,2024-2025,20,ar ARG,Bologna,it Serie A,24,FW,a83b47fa
371,Jack Clarke,553,24,125,229,215,38,553,1181,2024-2025,23,eng ENG,Ipswich Town,eng Premier League,32,FWMF,e16932d8
372,Eren Dinkçi,552,6,71,259,233,36,552,1196,2024-2025,22,de GER,Freiburg,de Bundesliga,23,MFFW,4ccd8957
373,Moritz Broschinski,552,19,54,211,297,68,552,1390,2024-2025,23,de GER,Bochum,de Bundesliga,33,FWMF,bbd79358
374,Alfon,551,2,44,139,374,114,551,1371,2024-2025,25,es ESP,Celta Vigo,es La Liga,26,FWMF,1c772b46
375,Carles Pérez,551,16,74,198,291,44,551,1431,2024-2025,26,es ESP,Getafe,es La Liga,27,MFFW,a8f21b9f
376,Giacomo Raspadori,549,10,62,246,247,54,549,1103,2024-2025,24,it ITA,Napoli,it Serie A,26,FWMF,6e058f06
377,Simon Adingra,548,10,66,174,315,76,548,1097,2024-2025,22,ci CIV,Brighton,eng Premier League,29,FWMF,4dcec659
378,Leon Bailey,545,18,77,155,323,70,545,1139,2024-2025,26,jm JAM,Aston Villa,eng Premier League,24,FWMF,3a233281
379,Junior Adamu,534,21,53,252,234,80,534,1545,2024-2025,23,at AUT,Freiburg,de Bundesliga,25,FW,82e12fe7
380,Joe Willock,533,12,74,231,239,55,533,1086,2024-2025,24,eng ENG,Newcastle Utd,eng Premier League,32,MFFW,a3b03921
381,Jesus Rodríguez,532,5,47,212,284,69,532,1111,2024-2025,18,es ESP,Betis,es La Liga,21,FW,f9f74e43
382,Matteo Cancellieri,531,20,103,210,230,40,531,1424,2024-2025,22,it ITA,Parma,it Serie A,27,FWMF,b6a1cdf9
383,Nathan Tella,529,8,54,189,290,67,529,1359,2024-2025,25,ng NGA,Leverkusen,de Bundesliga,27,MFFW,f1e94cd6
384,Jeremie Boga,529,5,65,204,268,57,529,1054,2024-2025,27,ci CIV,Nice,fr Ligue 1,21,MFFW,fe012aca
385,Dominic Calvert-Lewin,520,26,45,215,265,88,520,1609,2024-2025,27,eng ENG,Everton,eng Premier League,26,FW,59e6e5bf
386,Alexander Bernhardsson,520,23,109,223,202,41,520,1263,2024-2025,25,se SWE,Holstein Kiel,de Bundesliga,19,FWMF,dea1d183
387,Beto,520,29,51,233,242,86,520,1534,2024-2025,26,gw GNB,Everton,eng Premier League,30,FW,ed5c0319
388,John Yeboah,517,0,28,200,298,55,517,1226,2024-2025,24,ec ECU,Venezia,it Serie A,33,FWMF,8dfdc6c3
389,Rasmus Højlund,515,6,36,251,237,74,515,2004,2024-2025,21,dk DEN,Manchester Utd,eng Premier League,32,FW,491a433d
390,Abdallah Sima,510,10,66,194,256,66,510,1238,2024-2025,23,sn SEN,Brest,fr Ligue 1,27,FWMF,fdbde523
391,Daniel Mosquera,509,12,36,246,236,74,509,1375,2024-2025,24,co COL,Hellas Verona,it Serie A,35,FW,091b9eb8
392,Coba da Costa,504,10,75,191,245,47,504,1006,2024-2025,22,es ESP,Getafe,es La Liga,19,MFFW,0b3358f0
393,Esteban Lepaul,504,14,50,264,197,60,504,1629,2024-2025,24,fr FRA,Angers,fr Ligue 1,28,FW,85ce1949
394,Christian Kouamé,503,16,38,231,237,57,503,1129,2024-2025,26,ci CIV,2 Teams,it Serie A,26,FWMF,58e933d2
395,Arnaud Nordin,499,6,63,190,259,49,497,1166,2024-2025,26,fr FRA,Montpellier,fr Ligue 1,16,FW,7b9a9e25
396,Ferrán Torres,498,3,30,153,317,81,498,1106,2024-2025,24,es ESP,Barcelona,es La Liga,27,FWMF,9e1035f8
397,Randal Kolo Muani,496,8,36,188,276,102,494,1518,2024-2025,25,fr FRA,2 Teams,2 Comps,26,FW,c0b3669f
398,Marco Grüll,495,6,43,215,245,53,495,1181,2024-2025,26,at AUT,Werder Bremen,de Bundesliga,30,FWMF,8babb812
399,Joel Pohjanpalo,491,24,67,240,187,66,487,1603,2024-2025,29,fi FIN,Venezia,it Serie A,20,FW,ea003d07
400,Gianluca Gaetano,490,10,44,225,224,43,490,1009,2024-2025,24,it ITA,2 Teams,it Serie A,28,MFFW,3b387cc7
401,M'Bala Nzola,490,4,29,176,290,95,490,1460,2024-2025,27,ao ANG,Lens,fr Ligue 1,21,FW,a4948e67
402,Tim Skarke,487,10,71,204,216,31,487,1164,2024-2025,27,de GER,Union Berlin,de Bundesliga,33,FWMF,65857fdf
403,Wahbi Khazri,486,14,63,213,219,34,486,1118,2024-2025,33,tn TUN,Montpellier,fr Ligue 1,30,FWMF,2677a1de
404,Diogo Jota,485,6,35,198,259,97,485,1196,2024-2025,27,pt POR,Liverpool,eng Premier League,26,FW,178ae8f8
405,Peque,485,3,51,253,186,35,485,1134,2024-2025,21,es ESP,Sevilla,es La Liga,26,MFFW,cb971b4f
406,Phil Harres,481,22,59,262,165,61,481,1544,2024-2025,22,de GER,Holstein Kiel,de Bundesliga,26,FW,07db670d
407,Zito Luvumbo,477,4,44,166,277,67,477,1606,2024-2025,22,ao ANG,Cagliari,it Serie A,26,FWMF,b09e0873
408,Miguel,472,26,51,205,222,60,470,1724,2024-2025,24,es ESP,Leganés,es La Liga,34,FW,6763373d
409,Cucho,467,5,23,210,237,61,467,1139,2024-2025,25,co COL,Betis,es La Liga,15,FW,71b47ab9
410,Pontus Almqvist,462,11,67,154,253,53,462,1112,2024-2025,25,se SWE,Parma,it Serie A,29,FWMF,0917188a
411,Milan Đurić,462,20,49,255,163,48,462,1538,2024-2025,34,ba BIH,2 Teams,it Serie A,27,FW,405f6586
412,Casper Tengstedt,458,30,47,199,217,58,457,1517,2024-2025,24,dk DEN,Hellas Verona,it Serie A,25,FW,ff2fb007
413,Mostafa Mohamed,452,34,69,177,217,76,452,1252,2024-2025,26,eg EGY,Nantes,fr Ligue 1,30,FW,595e6f3e
414,Mama Samba Baldé,449,14,59,172,228,64,449,1182,2024-2025,28,gw GNB,2 Teams,fr Ligue 1,29,FW,fb14aa28
415,Eldor Shomurodov,446,5,33,182,236,52,446,1097,2024-2025,29,uz UZB,Roma,it Serie A,27,FWMF,57469b2d
416,Alex Sola,446,8,63,166,225,35,446,1029,2024-2025,25,es ESP,Getafe,es La Liga,19,MFFW,5fa714d5
417,Elif Elmas,444,5,44,187,220,38,444,1021,2024-2025,24,mk MKD,Torino,it Serie A,13,FWMF,cf007308
418,Paul Onuachu,440,17,45,235,163,67,440,1050,2024-2025,30,ng NGA,Southampton,eng Premier League,25,FW,c06d1086
419,Unai Gómez,439,20,63,215,168,21,439,1284,2024-2025,21,es ESP,Athletic Club,es La Liga,32,MFFW,37db6cae
420,Thijs Dallinga,439,15,28,199,214,65,439,1154,2024-2025,23,nl NED,Bologna,it Serie A,31,FW,b70afb45
421,Roberto Férnandez,436,26,70,222,151,37,436,1497,2024-2025,22,es ESP,Espanyol,es La Liga,19,FW,c981fc98
422,Mamadou Sylla,431,14,44,226,163,37,427,1583,2024-2025,30,sn SEN,Valladolid,es La Liga,29,FWMF,e5ec95f8
423,Matias Fernandez-Pardo,429,7,38,137,267,51,429,1065,2024-2025,19,be BEL,Lille,fr Ligue 1,22,FWMF,0cdb6a2a
424,Shavy Babicka,428,4,46,145,252,53,428,1186,2024-2025,24,ga GAB,Toulouse,fr Ligue 1,30,MFFW,c6f0d5d4
425,Frank Magri,420,10,32,213,178,70,420,1516,2024-2025,24,cm CMR,Toulouse,fr Ligue 1,31,FWMF,42fdb11d
426,Jordan Pefok,416,29,73,194,157,60,416,1288,2024-2025,28,us USA,2 Teams,2 Comps,25,FW,b684a484
427,Yann Karamoh,412,8,49,161,205,49,412,1046,2024-2025,26,fr FRA,Torino,it Serie A,29,MFFW,8b66d9cc
428,Eddie Nketiah,412,11,47,176,198,67,412,1034,2024-2025,25,eng ENG,2 Teams,eng Premier League,29,FW,a53649b7
429,Keinan Davis,404,5,19,195,194,67,404,1066,2024-2025,26,eng ENG,Udinese,it Serie A,23,FW,9deaf2c8
430,Giorgos Masouras,403,7,54,156,202,53,403,1055,2024-2025,30,gr GRE,Bochum,de Bundesliga,14,FWMF,9d689a5b
431,Toni Martínez,401,15,34,171,203,70,401,1012,2024-2025,27,es ESP,Alavés,es La Liga,28,FW,f3945e07
432,Victor Boniface,400,5,24,163,215,77,399,1008,2024-2025,23,ng NGA,Leverkusen,de Bundesliga,19,FW,b146275b
433,Cameron Archer,398,16,69,179,154,52,397,1441,2024-2025,23,eng ENG,Southampton,eng Premier League,35,FW,05e8ca6d
434,Sergio Camello,398,17,39,173,196,46,398,1134,2024-2025,23,es ESP,Rayo Vallecano,es La Liga,23,FW,873619c6
435,Abel Ruiz,391,11,28,188,177,59,389,1346,2024-2025,24,es ESP,Girona,es La Liga,23,FW,6cbf8d0d
436,Juanmi Latasa,390,16,28,202,163,74,390,1398,2024-2025,23,es ESP,Valladolid,es La Liga,28,FW,2bea832e
437,Neal Maupay,386,2,20,198,174,48,386,1042,2024-2025,27,fr FRA,2 Teams,2 Comps,22,FWMF,4bcf39f6
438,Umar Sadiq,386,9,34,163,196,57,386,1052,2024-2025,27,ng NGA,2 Teams,es La Liga,23,FW,686cbe7d
439,Álvaro Morata,383,6,34,180,170,61,383,1099,2024-2025,31,es ESP,Milan,it Serie A,16,FWMF,129af0db
440,Mika Biereth,382,4,15,125,243,98,380,1228,2024-2025,21,dk DEN,Monaco,fr Ligue 1,16,FW,a1d95db3
441,André Ayew,378,21,44,207,134,40,378,1453,2024-2025,34,gh GHA,Le Havre,fr Ligue 1,27,FW,5dbefa9d
442,Antonio Sanabria,377,16,43,199,140,34,376,1318,2024-2025,28,py PAR,Torino,it Serie A,26,FW,0a447501
443,Adam Armstrong,377,11,44,143,192,49,376,1248,2024-2025,27,eng ENG,Southampton,eng Premier League,20,FWMF,68c720b5
444,Anastasios Douvikas,374,14,31,157,193,66,374,1280,2024-2025,24,gr GRE,2 Teams,2 Comps,33,FW,853ca71c
445,Marcos André,372,13,46,208,128,32,372,1188,2024-2025,27,br BRA,Valladolid,es La Liga,22,FW,ae86d473
446,Tammy Abraham,371,20,46,174,151,58,369,1184,2024-2025,26,eng ENG,2 Teams,it Serie A,29,FW,f586779e
447,Antoniu,369,10,74,150,158,20,369,1022,2024-2025,21,es ESP,Espanyol,es La Liga,26,FWMF,af784a9e
448,Darwin Núñez,366,10,45,122,210,74,366,1133,2024-2025,25,uy URU,Liverpool,eng Premier League,30,FW,4d77b365
449,Borja Mayoral,366,9,27,174,171,40,365,1114,2024-2025,27,es ESP,Getafe,es La Liga,24,FW,64e8ed6d
450,Randy Nteka,366,24,45,148,175,40,366,1129,2024-2025,26,ao ANG,Rayo Vallecano,es La Liga,24,FW,a6103274
451,Vitor Roque,365,3,27,167,179,57,365,1235,2024-2025,19,br BRA,Betis,es La Liga,22,FW,cb00f1e6
452,Marshall Munetsi,364,21,58,182,128,36,364,1078,2024-2025,28,zw ZIM,Wolves,eng Premier League,14,MFFW,2acf0cd7
453,Takuma Asano,356,8,53,141,169,53,356,1054,2024-2025,29,jp JPN,Mallorca,es La Liga,21,FWMF,13ddc856
454,Gonçalo Ramos,353,6,27,108,220,97,350,1066,2024-2025,23,pt POR,Paris S-G,fr Ligue 1,22,FW,f63cda26
455,Bertuğ Yıldırım,323,21,32,145,150,46,323,1083,2024-2025,22,tr TUR,Getafe,es La Liga,22,FW,7410d325
456,Diego,322,11,20,135,171,44,322,1195,2024-2025,24,es ESP,Leganés,es La Liga,28,FW,b85a5126
457,Alejo Véliz,317,25,35,189,93,30,317,1127,2024-2025,20,ar ARG,Espanyol,es La Liga,27,FW,3f7bafbe
458,Myron Boadu,287,7,19,123,150,46,286,1042,2024-2025,23,nl NED,Bochum,de Bundesliga,19,FW,5b479568
459,Akor Adams,285,6,23,136,129,50,285,1209,2024-2025,24,ng NGA,2 Teams,2 Comps,19,FW,2ccd39ed
460,Cristhian Stuani,256,10,32,107,118,55,253,1078,2024-2025,37,uy URU,Girona,es La Liga,32,FW,220c11f1
