Rk,Player,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
188,Kamory Doumbia,895,18,149,498,260,34,895,1322,2024-2025,21,ml MLI,Brest,fr Ligue 1,30,MFFW,9226aa22
189,Kiké,894,24,70,404,433,120,891,2542,2024-2025,34,es ESP,Alavés,es La Liga,35,FW,e897d8ba
190,Anass Zaroury,893,11,106,387,408,26,893,1405,2024-2025,23,ma MAR,Lens,fr Ligue 1,28,FWMF,07d65234
191,Cody Gakpo,888,28,91,258,557,110,888,1935,2024-2025,25,nl NED,Liverpool,eng Premier League,35,FW,1971591f
192,Yunus Musah,888,19,144,468,293,37,888,1571,2024-2025,21,us USA,Milan,it Serie A,29,MFFW,b51b1b9c
193,Arnaud Kalimuendo,885,18,74,432,392,126,877,2578,2024-2025,22,fr FRA,Rennes,fr Ligue 1,33,FWMF,bf4c41f9
194,Nicolás González,883,44,158,363,376,65,883,1750,2024-2025,26,ar ARG,Juventus,it Serie A,26,FWMF,2374aaca
195,Kevin Schade,883,43,154,238,507,146,883,2293,2024-2025,22,de GER,Brentford,eng Premier League,38,FW,52afb588
196,Matthis Abline,878,34,75,382,438,142,877,2768,2024-2025,21,fr FRA,Nantes,fr Ligue 1,34,FW,0e46fa2f
197,Christopher Operi,878,41,237,347,302,12,878,1169,2024-2025,27,ci CIV,Le Havre,fr Ligue 1,13,DFFW,914bb955
198,Facundo Buonanotte,874,26,128,452,307,39,874,1523,2024-2025,19,ar ARG,Leicester City,eng Premier League,31,FWMF,468a7a91
199,Mateo Retegui,874,19,30,378,474,173,869,2383,2024-2025,25,it ITA,Atalanta,it Serie A,36,FW,e7695e6c
200,Jamie Gittens,873,8,85,293,520,110,873,1776,2024-2025,19,eng ENG,Dortmund,de Bundesliga,32,FWMF,10745192
201,Tyler Dibling,868,27,129,390,369,41,868,1874,2024-2025,18,eng ENG,Southampton,eng Premier League,33,FWMF,bdcc89ae
202,Stephy Mavididi,863,23,132,327,421,61,863,1615,2024-2025,26,eng ENG,Leicester City,eng Premier League,30,FW,30144daa
203,Fermin López,858,5,58,366,441,59,858,1252,2024-2025,21,es ESP,Barcelona,es La Liga,28,MFFW,c1fe5f0b
204,Lucas Höler,854,40,132,382,352,89,853,1867,2024-2025,30,de GER,Freiburg,de Bundesliga,31,FWMF,ca618d23
205,Brennan Johnson,853,18,98,292,475,125,853,2177,2024-2025,23,wls WAL,Tottenham,eng Premier League,33,FW,0cd31129
206,Marvin Pieringer,849,31,103,427,328,97,846,2206,2024-2025,24,de GER,Heidenheim,de Bundesliga,31,FWMF,11407d95
207,Fabio Miretti,847,15,137,407,316,56,847,1677,2024-2025,20,it ITA,Genoa,it Serie A,25,MFFW,34693494
208,Adri Embarba,847,17,104,333,433,44,847,1607,2024-2025,32,es ESP,Rayo Vallecano,es La Liga,35,FWMF,db8f0eba
209,Alieu Fadera,844,16,148,326,391,60,844,1644,2024-2025,22,gm GAM,Como,it Serie A,28,FWDF,53210e42
210,Jean-Ricner Bellegarde,843,24,148,394,318,48,843,1677,2024-2025,26,fr FRA,Wolves,eng Premier League,35,MFFW,10f0fdd3
211,Nicolas Pépé,842,20,112,266,477,89,842,1500,2024-2025,29,ci CIV,Villarreal,es La Liga,28,FWMF,57e3f0c7
212,Farid El Melali,842,11,142,287,441,70,842,1893,2024-2025,27,dz ALG,Angers,fr Ligue 1,32,FW,d21e361a
213,Robert Lewandowski,841,32,59,314,475,179,837,2667,2024-2025,35,pl POL,Barcelona,es La Liga,34,FW,8d78e732
214,Romain Del Castillo,840,6,69,392,393,41,836,1259,2024-2025,28,fr FRA,Brest,fr Ligue 1,26,FW,0be95d34
215,Aleksandr Golovin,840,7,108,444,302,31,840,1153,2024-2025,28,ru RUS,Monaco,fr Ligue 1,19,MFFW,3708e9fa
216,Jofre,839,23,137,334,384,71,839,2165,2024-2025,23,es ESP,Espanyol,es La Liga,37,MFFW,030ef8d6
217,Issa Soumaré,839,30,132,354,379,87,839,1902,2024-2025,23,sn SEN,Le Havre,fr Ligue 1,29,FWMF,1d8aa290
218,Lorenzo Colombo,837,18,77,417,355,83,836,2233,2024-2025,22,it ITA,Empoli,it Serie A,37,FWMF,04df29a5
219,Yankuba Minteh,836,30,135,228,491,146,836,1838,2024-2025,20,gm GAM,Brighton,eng Premier League,32,FWMF,c3cf087d
220,Valentín Castellanos,835,20,57,353,434,155,832,2384,2024-2025,25,ar ARG,Lazio,it Serie A,29,FW,da76bab4
221,Brahim Díaz,833,5,76,417,350,66,833,1385,2024-2025,24,ma MAR,Real Madrid,es La Liga,31,FWMF,407feb71
222,Morgan Guilavogui,832,30,116,343,384,103,832,1807,2024-2025,26,gn GUI,St. Pauli,de Bundesliga,25,FWMF,79b51257
223,Yaser Asprilla,831,11,69,319,453,48,831,1405,2024-2025,20,co COL,Girona,es La Liga,27,FWMF,d139daf9
