Rk,Player,Shots_Total,Goals_per_Shot,Goals_per_Shot_on_Target,Shots_on_Target,Shot_on_Target_Percentage,Average_Shot_Distance,Free_Kicks,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
214,Bryan Zaragoza,42,0.02,0.08,13,0.31,20.2,0,1856,2024-2025,23,es ESP,Osasuna,es La Liga,27,FWMF,a96103b2
215,Tiago Tomás,42,0.14,0.3,20,0.476,16.0,0,1901,2024-2025,22,pt POR,Wolfsburg,de Bundesliga,32,FWMF,b492126a
216,João Pedro,42,0.12,0.33,15,0.357,17.2,0,1957,2024-2025,22,br BRA,Brighton,eng Premier League,27,FWMF,e8832875
217,Dany Mota,42,0.12,0.45,11,0.262,13.1,0,2118,2024-2025,26,pt POR,Monza,it Serie A,31,FWMF,efc9e31f
218,Tete Morente,41,0.07,0.23,13,0.317,20.8,0,2034,2024-2025,27,es ESP,Lecce,it Serie A,31,FWMF,004d185e
219,Morgan Guilavogui,41,0.15,0.4,15,0.366,13.6,0,1821,2024-2025,26,gn GUI,St. Pauli,de Bundesliga,25,FWMF,79b51257
220,Lee Kang-in,41,0.15,0.43,14,0.341,19.0,1,1677,2024-2025,23,kr KOR,Paris S-G,fr Ligue 1,30,FWMF,8455ad90
221,Esteban Lepaul,41,0.22,0.53,17,0.415,13.2,0,1638,2024-2025,24,fr FRA,Angers,fr Ligue 1,28,FW,85ce1949
222,Alassane Pléa,41,0.24,0.83,12,0.293,15.2,1,1920,2024-2025,31,fr FRA,Gladbach,de Bundesliga,30,MFFW,bc6bd723
223,Fermin López,41,0.15,0.4,15,0.366,18.0,0,1258,2024-2025,21,es ESP,Barcelona,es La Liga,28,MFFW,c1fe5f0b
224,Vitor Roque,41,0.1,0.22,18,0.439,14.5,0,1245,2024-2025,19,br BRA,Betis,es La Liga,22,FW,cb00f1e6
225,Patrick Wimmer,41,0.07,0.3,10,0.244,17.7,1,1787,2024-2025,23,at AUT,Wolfsburg,de Bundesliga,29,MFFW,cb11b429
226,Musa Al-Taamari,41,0.07,0.21,14,0.341,16.6,1,1692,2024-2025,27,jo JOR,2 Teams,fr Ligue 1,26,FWMF,f15f8b2b
227,Jofre,40,0.08,0.3,10,0.25,19.5,0,2188,2024-2025,23,es ESP,Espanyol,es La Liga,37,MFFW,030ef8d6
228,Juanmi Latasa,40,0.08,0.23,13,0.325,11.8,0,1404,2024-2025,23,es ESP,Valladolid,es La Liga,28,FW,2bea832e
229,Francisco Conceição,40,0.08,0.23,13,0.325,18.1,1,1347,2024-2025,21,pt POR,Juventus,it Serie A,26,FWMF,5ef3d210
230,Moses Simon,40,0.1,0.31,13,0.325,19.6,2,2627,2024-2025,29,ng NGA,Nantes,fr Ligue 1,32,FWMF,5f3eaaf5
231,Mika Biereth,40,0.3,0.55,22,0.55,11.6,0,1239,2024-2025,21,dk DEN,Monaco,fr Ligue 1,16,FW,a1d95db3
