Rk,Player,Shots_Total,Goals_per_Shot,Goals_per_Shot_on_Target,Shots_on_Target,Shot_on_Target_Percentage,Average_Shot_Distance,Free_Kicks,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
353,Luis Rioja,28,0.11,0.25,12,0.429,21.2,1,2872,2024-2025,30,es ESP,2 Teams,es La Liga,37,FW,eb3dd471
354,Nathan Tella,28,0.07,0.2,10,0.357,15.5,0,1373,2024-2025,25,ng NGA,Leverkusen,de Bundesliga,27,MFFW,f1e94cd6
355,Álvaro Morata,27,0.19,0.5,10,0.37,11.3,0,1106,2024-2025,31,es ESP,Milan,it Serie A,16,FWMF,129af0db
356,Josué Casimir,27,0.15,0.44,9,0.3329999999999999,15.7,0,2010,2024-2025,22,fr FRA,Le Havre,fr Ligue 1,27,FWMF,481f76cf
357,Christian Kouamé,27,0.04,0.17,6,0.222,14.3,0,1135,2024-2025,26,ci CIV,2 Teams,it Serie A,26,FWMF,58e933d2
358,Myron Boadu,27,0.3,0.62,13,0.481,11.7,0,1050,2024-2025,23,nl NED,Bochum,de Bundesliga,19,FW,5b479568
359,Rubén García,27,0.19,0.5,10,0.37,16.1,3,2439,2024-2025,31,es ESP,Osasuna,es La Liga,36,FWMF,5c96b017
360,Alexander Bernhardsson,27,0.26,0.5,14,0.519,17.5,0,1274,2024-2025,25,se SWE,Holstein Kiel,de Bundesliga,19,FWMF,dea1d183
361,Gonçalo Guedes,27,0.07,0.25,8,0.296,18.9,0,1003,2024-2025,27,pt POR,Wolves,eng Premier League,29,MFFW,e6bc67d7
362,Pontus Almqvist,26,0.04,0.11,9,0.346,17.4,0,1120,2024-2025,25,se SWE,Parma,it Serie A,29,FWMF,0917188a
363,Stephy Mavididi,26,0.15,0.57,7,0.2689999999999999,16.1,1,1628,2024-2025,26,eng ENG,Leicester City,eng Premier League,30,FW,30144daa
364,Oumar Diakité,26,0.15,0.44,9,0.346,12.1,0,1646,2024-2025,20,ci CIV,Reims,fr Ligue 1,26,FW,44435c8f
365,Lucas Beltrán,26,0.12,0.5,6,0.231,15.9,0,1969,2024-2025,23,ar ARG,Fiorentina,it Serie A,33,FWMF,482d2bc3
366,Angelo Fulgini,26,0.04,0.11,9,0.346,17.9,2,1055,2024-2025,27,fr FRA,Lens,fr Ligue 1,23,MFFW,4b96c347
367,Carlos Martín,26,0.08,0.17,12,0.462,17.0,0,1346,2024-2025,22,es ESP,Alavés,es La Liga,26,FWMF,64035864
368,Pablo Durán,26,0.15,0.44,9,0.346,14.8,0,1405,2024-2025,23,es ESP,Celta Vigo,es La Liga,27,FWMF,6db116ec
369,Arnaud Nordin,26,0.12,0.27,11,0.423,18.2,0,1172,2024-2025,26,fr FRA,Montpellier,fr Ligue 1,16,FW,7b9a9e25
370,Arthur Atta,26,0.0,0.0,7,0.2689999999999999,20.6,0,1259,2024-2025,21,fr FRA,Udinese,it Serie A,27,MFFW,d3ddf88b
371,Tammy Abraham,26,0.08,0.18,11,0.423,13.4,0,1192,2024-2025,26,eng ENG,2 Teams,it Serie A,29,FW,f586779e
372,Ander Barrenetxea,25,0.04,0.13,8,0.32,16.2,0,1274,2024-2025,22,es ESP,Real Sociedad,es La Liga,30,MFFW,200e89e1
373,Fares Chaïbi,25,0.04,0.17,6,0.24,18.4,2,1021,2024-2025,21,dz ALG,Eint Frankfurt,de Bundesliga,26,MFFW,357103bd
374,Jeong Woo-yeong,25,0.12,0.5,6,0.24,18.5,1,1278,2024-2025,24,kr KOR,Union Berlin,de Bundesliga,23,MFFW,6190474d
375,Umar Sadiq,25,0.2,0.71,7,0.28,14.3,0,1061,2024-2025,27,ng NGA,2 Teams,es La Liga,23,FW,686cbe7d
376,Adam Armstrong,25,0.08,0.29,7,0.28,16.6,0,1258,2024-2025,27,eng ENG,Southampton,eng Premier League,20,FWMF,68c720b5
377,Habib Diarra,25,0.08,0.2,10,0.4,20.2,1,2360,2024-2025,20,sn SEN,Strasbourg,fr Ligue 1,30,MFFW,6d0fe035
378,Yann Karamoh,25,0.0,0.0,6,0.24,17.7,0,1056,2024-2025,26,fr FRA,Torino,it Serie A,29,MFFW,8b66d9cc
379,Marco Grüll,25,0.24,0.6,10,0.4,15.9,1,1192,2024-2025,26,at AUT,Werder Bremen,de Bundesliga,30,FWMF,8babb812
380,Félix Lemaréchal,25,0.16,0.44,9,0.36,14.4,0,1789,2024-2025,20,fr FRA,Strasbourg,fr Ligue 1,27,MFFW,8ca9415f
381,Albert Guðmundsson,25,0.16,0.31,13,0.52,20.8,2,1285,2024-2025,27,is ISL,Fiorentina,it Serie A,24,FWMF,b79858d5
382,Alexis Saelemaekers,25,0.28,0.58,12,0.48,16.7,0,1494,2024-2025,25,be BEL,2 Teams,it Serie A,23,DFFW,ee251371
383,Dwight McNeil,25,0.16,0.4,10,0.4,21.9,0,1376,2024-2025,24,eng ENG,Everton,eng Premier League,21,MFFW,fc15fb84
384,Carlos Soler,25,0.04,0.13,8,0.32,19.0,1,1419,2024-2025,27,es ESP,West Ham,eng Premier League,31,MFFW,fed17f5a
385,Fabio Miretti,24,0.13,0.5,6,0.25,17.4,1,1696,2024-2025,20,it ITA,Genoa,it Serie A,25,MFFW,34693494
386,Aleksandr Golovin,24,0.13,0.33,9,0.375,21.4,0,1159,2024-2025,28,ru RUS,Monaco,fr Ligue 1,19,MFFW,3708e9fa
387,Paul Wanner,24,0.08,0.4,5,0.208,18.2,3,1786,2024-2025,18,de GER,Heidenheim,de Bundesliga,29,MFFW,cb64672e
388,Jadon Sancho,24,0.13,0.38,8,0.3329999999999999,15.1,0,1775,2024-2025,24,eng ENG,Chelsea,eng Premier League,31,FW,dbf053da
389,Coba da Costa,23,0.04,0.13,8,0.348,18.3,0,1014,2024-2025,22,es ESP,Getafe,es La Liga,19,MFFW,0b3358f0
390,Matias Fernandez-Pardo,23,0.17,0.33,12,0.522,17.8,0,1075,2024-2025,19,be BEL,Lille,fr Ligue 1,22,FWMF,0cdb6a2a
391,Jon Guridi,23,0.09,0.18,11,0.478,14.9,0,2101,2024-2025,29,es ESP,Alavés,es La Liga,33,MFFW,4c0a6a48
392,Osame Sahraoui,23,0.13,0.38,8,0.348,15.6,0,1301,2024-2025,23,ma MAR,Lille,fr Ligue 1,30,FWMF,6f9fa232
393,Pablo Fornals,23,0.09,0.5,4,0.174,21.7,0,1841,2024-2025,28,es ESP,Betis,es La Liga,26,MFFW,82927de4
394,Mitchel Bakker,23,0.13,0.3,10,0.435,18.9,5,1147,2024-2025,24,nl NED,Lille,fr Ligue 1,24,FWDF,a8567629
395,Zito Luvumbo,23,0.09,0.5,4,0.174,16.0,0,1619,2024-2025,22,ao ANG,Cagliari,it Serie A,26,FWMF,b09e0873
396,Amin Sarr,23,0.17,0.57,7,0.304,14.3,0,1927,2024-2025,23,se SWE,Hellas Verona,it Serie A,32,FW,d5326924
397,Jesus Rodríguez,23,0.09,0.25,8,0.348,17.9,0,1126,2024-2025,18,es ESP,Betis,es La Liga,21,FW,f9f74e43
398,Jean-Ricner Bellegarde,22,0.09,0.4,5,0.2269999999999999,21.2,2,1695,2024-2025,26,fr FRA,Wolves,eng Premier League,35,MFFW,10f0fdd3
399,Sofiane Diop,22,0.27,0.55,11,0.5,16.4,3,1070,2024-2025,24,fr FRA,Nice,fr Ligue 1,28,MFFW,19053e31
400,Marshall Munetsi,22,0.09,0.29,7,0.318,15.0,0,1080,2024-2025,28,zw ZIM,Wolves,eng Premier League,14,MFFW,2acf0cd7
401,André Ayew,22,0.18,0.44,9,0.409,12.0,2,1463,2024-2025,34,gh GHA,Le Havre,fr Ligue 1,27,FW,5dbefa9d
402,Sheraldo Becker,22,0.09,0.15,13,0.591,19.1,0,1003,2024-2025,29,sr SUR,Real Sociedad,es La Liga,22,FWMF,8eb55dbb
403,Kamory Doumbia,22,0.14,0.3,10,0.455,16.7,1,1334,2024-2025,21,ml MLI,Brest,fr Ligue 1,30,MFFW,9226aa22
404,Marcos André,22,0.05,0.5,2,0.091,14.0,0,1200,2024-2025,27,br BRA,Valladolid,es La Liga,22,FW,ae86d473
405,Yunus Musah,22,0.0,0.0,5,0.2269999999999999,19.5,0,1582,2024-2025,21,us USA,Milan,it Serie A,29,MFFW,b51b1b9c
406,Matteo Cancellieri,22,0.14,0.43,7,0.318,17.6,0,1437,2024-2025,22,it ITA,Parma,it Serie A,27,FWMF,b6a1cdf9
407,Emmanuel Gyasi,22,0.09,0.25,8,0.364,11.4,0,3225,2024-2025,30,gh GHA,Empoli,it Serie A,37,DFFW,f9758dae
408,Nicolás Domínguez,21,0.0,0.0,9,0.429,18.9,0,1981,2024-2025,26,ar ARG,Nott'ham Forest,eng Premier League,34,MFFW,20b3a502
409,Sammie Szmodics,21,0.19,0.33,12,0.5710000000000001,14.0,0,1005,2024-2025,28,ie IRL,Ipswich Town,eng Premier League,20,FWMF,39944392
410,Abel Ruiz,21,0.14,0.43,7,0.3329999999999999,14.0,0,1362,2024-2025,24,es ESP,Girona,es La Liga,23,FW,6cbf8d0d
411,Timothy Weah,21,0.24,0.56,9,0.429,20.3,0,1648,2024-2025,24,us USA,Juventus,it Serie A,30,DFFW,8eec784d
412,Roberto Férnandez,21,0.29,0.67,9,0.429,14.0,0,1510,2024-2025,22,es ESP,Espanyol,es La Liga,19,FW,c981fc98
413,Ramón Terrats,21,0.19,0.5,8,0.381,21.5,1,1361,2024-2025,23,es ESP,2 Teams,es La Liga,26,MFFW,f36016a5
414,Dani de Wit,20,0.1,0.29,7,0.35,11.7,0,1158,2024-2025,26,nl NED,Bochum,de Bundesliga,28,MFFW,48a2b92a
415,Tim Skarke,20,0.0,0.0,9,0.45,18.5,0,1174,2024-2025,27,de GER,Union Berlin,de Bundesliga,33,FWMF,65857fdf
416,Carles Aleñá,20,0.0,0.0,5,0.25,18.3,1,1555,2024-2025,26,es ESP,2 Teams,es La Liga,24,MFFW,6c811eb7
417,Shavy Babicka,20,0.2,0.44,9,0.45,14.6,0,1195,2024-2025,24,ga GAB,Toulouse,fr Ligue 1,30,MFFW,c6f0d5d4
418,Jacob Ramsey,19,0.05,0.25,4,0.211,16.8,0,1636,2024-2025,23,eng ENG,Aston Villa,eng Premier League,29,FWMF,1544f145
419,Unai Gómez,19,0.05,0.25,4,0.211,17.5,1,1296,2024-2025,21,es ESP,Athletic Club,es La Liga,32,MFFW,37db6cae
420,Alejo Véliz,19,0.05,0.17,6,0.316,10.7,0,1134,2024-2025,20,ar ARG,Espanyol,es La Liga,27,FW,3f7bafbe
421,Neal Maupay,19,0.21,0.4,10,0.526,10.6,0,1051,2024-2025,27,fr FRA,2 Teams,2 Comps,22,FWMF,4bcf39f6
422,Borja Mayoral,19,0.21,0.5,8,0.421,13.9,0,1117,2024-2025,27,es ESP,Getafe,es La Liga,24,FW,64e8ed6d
423,Bertuğ Yıldırım,19,0.05,0.14,7,0.368,11.4,0,1093,2024-2025,22,tr TUR,Getafe,es La Liga,22,FW,7410d325
424,Peque,19,0.05,0.25,4,0.211,15.7,0,1146,2024-2025,21,es ESP,Sevilla,es La Liga,26,MFFW,cb971b4f
425,Elif Elmas,19,0.21,0.44,9,0.474,19.3,0,1027,2024-2025,24,mk MKD,Torino,it Serie A,13,FWMF,cf007308
426,Noah Weißhaupt,19,0.05,0.25,4,0.211,15.5,0,1252,2024-2025,22,de GER,2 Teams,de Bundesliga,22,FWMF,dd676a97
427,Antonio Sanabria,18,0.11,0.5,4,0.222,15.1,0,1327,2024-2025,28,py PAR,Torino,it Serie A,26,FW,0a447501
428,Ridle Baku,18,0.11,0.33,6,0.3329999999999999,19.9,0,1176,2024-2025,26,de GER,Wolfsburg,de Bundesliga,15,FWMF,442b56fa
429,Manuel Fuster,18,0.11,0.29,7,0.389,23.2,0,1008,2024-2025,26,es ESP,Las Palmas,es La Liga,28,FWMF,618f396a
430,Joe Willock,18,0.0,0.0,3,0.1669999999999999,15.1,0,1094,2024-2025,24,eng ENG,Newcastle Utd,eng Premier League,32,MFFW,a3b03921
431,Roberto Navarro,18,0.06,0.17,6,0.3329999999999999,16.2,0,1293,2024-2025,22,es ESP,Mallorca,es La Liga,23,MFFW,c997b942
432,Mamadou Sylla,18,0.06,0.33,3,0.1669999999999999,17.4,0,1594,2024-2025,30,sn SEN,Valladolid,es La Liga,29,FWMF,e5ec95f8
433,Domingos André Ribeiro Almeida,18,0.0,0.0,5,0.278,24.1,2,1997,2024-2025,24,pt POR,Valencia,es La Liga,34,MFFW,e6697917
434,Romain Del Castillo,17,0.18,0.38,8,0.471,19.7,0,1270,2024-2025,28,fr FRA,Brest,fr Ligue 1,26,FW,0be95d34
435,Andrea Cambiaso,17,0.12,0.33,6,0.353,22.1,0,2230,2024-2025,24,it ITA,Juventus,it Serie A,33,DFFW,247ed022
436,Jack Clarke,17,0.0,0.0,2,0.118,18.9,0,1192,2024-2025,23,eng ENG,Ipswich Town,eng Premier League,32,FWMF,e16932d8
437,Khalil Fayad,17,0.0,0.0,3,0.176,23.2,1,1034,2024-2025,20,fr FRA,Montpellier,fr Ligue 1,20,MFFW,faf00ab8
438,Valentino Lazaro,16,0.0,0.0,2,0.125,19.5,2,2324,2024-2025,28,at AUT,Torino,it Serie A,33,DFFW,016ff750
439,Aitor Ruibal,16,0.06,0.25,4,0.25,19.0,0,1320,2024-2025,28,es ESP,Betis,es La Liga,29,DFFW,a55d8df5
440,Randy Nteka,16,0.19,0.38,8,0.5,13.6,0,1144,2024-2025,26,ao ANG,Rayo Vallecano,es La Liga,24,FW,a6103274
441,Giuseppe Pezzella,15,0.0,0.0,3,0.2,20.6,0,2889,2024-2025,26,it ITA,Empoli,it Serie A,35,DFFW,149c5f5d
442,Alex Sola,15,0.0,0.0,2,0.133,18.6,0,1041,2024-2025,25,es ESP,Getafe,es La Liga,19,MFFW,5fa714d5
443,Iván Sánchez,15,0.13,0.4,5,0.3329999999999999,21.1,2,1413,2024-2025,31,es ESP,Valladolid,es La Liga,32,MFFW,70107d4d
444,Morten Thorsby,15,0.0,0.0,6,0.4,12.2,0,1911,2024-2025,28,no NOR,Genoa,it Serie A,30,MFFW,d1b49282
445,Alejandro Jiménez,15,0.0,0.0,5,0.3329999999999999,22.1,0,1274,2024-2025,19,es ESP,Milan,it Serie A,22,DFFW,faa13947
446,Eren Dinkçi,14,0.0,0.0,3,0.214,19.0,0,1204,2024-2025,22,de GER,Freiburg,de Bundesliga,23,MFFW,4ccd8957
447,Lilian Raolisoa,14,0.0,0.0,1,0.071,23.2,1,1326,2024-2025,24,fr FRA,Angers,fr Ligue 1,29,DFFW,79a793b7
448,Derrick Köhn,13,0.15,0.5,4,0.308,15.7,0,1356,2024-2025,25,de GER,Werder Bremen,de Bundesliga,27,DFFW,b735b590
449,Leonardo Spinazzola,12,0.08,0.25,4,0.3329999999999999,17.1,0,1527,2024-2025,31,it ITA,Napoli,it Serie A,27,DFFW,3626daea
450,Gavi,11,0.09,1.0,1,0.091,15.3,0,1094,2024-2025,19,es ESP,Barcelona,es La Liga,26,MFFW,19cae58d
451,Alessandro Zanoli,11,0.09,0.33,3,0.273,20.8,0,1727,2024-2025,23,it ITA,Genoa,it Serie A,31,FWDF,3b12b11f
452,Pep Chavarría,11,0.0,0.0,3,0.273,20.1,0,2589,2024-2025,26,es ESP,Rayo Vallecano,es La Liga,34,DFFW,63c5e56b
453,Loïc Nego,11,0.0,0.0,2,0.182,17.1,0,2466,2024-2025,33,hu HUN,Le Havre,fr Ligue 1,31,DFFW,c3b6fa1e
454,Anuar,11,0.18,0.4,5,0.455,12.8,0,1732,2024-2025,29,ma MAR,Valladolid,es La Liga,26,MFFW,c93231dc
455,Antoniu,10,0.0,0.0,4,0.4,19.7,0,1033,2024-2025,21,es ESP,Espanyol,es La Liga,26,FWMF,af784a9e
456,Sorba Thomas,9,0.11,1.0,1,0.111,17.0,0,1335,2024-2025,24,wls WAL,Nantes,fr Ligue 1,25,FWMF,8725a42e
457,Mario Götze,8,0.38,0.6,5,0.625,10.1,0,1555,2024-2025,32,de GER,Eint Frankfurt,de Bundesliga,24,MFFW,9efa1d25
458,Adrià Altimira,7,0.0,0.0,2,0.286,24.1,0,1638,2024-2025,23,es ESP,Leganés,es La Liga,22,DFFW,757a3431
459,Christopher Operi,7,0.0,0.0,1,0.143,22.0,2,1169,2024-2025,27,ci CIV,Le Havre,fr Ligue 1,13,DFFW,914bb955
460,Ben Johnson,7,0.14,0.33,3,0.429,12.6,0,1357,2024-2025,24,eng ENG,Ipswich Town,eng Premier League,23,DFFW,9319781b
461,Antoine Hainaut,6,0.33,0.67,3,0.5,19.1,0,1211,2024-2025,22,fr FRA,Parma,it Serie A,25,DFFW,6503f220
462,Adama Boiro,5,0.0,,0,0.0,14.4,0,1109,2024-2025,22,es ESP,Athletic Club,es La Liga,18,DFFW,e7992f7b
463,Marvin,5,0.0,,0,0.0,13.7,0,1042,2024-2025,24,es ESP,Las Palmas,es La Liga,23,DFFW,efaefda0
