Rk,Player,GCA,PassLive,PassDead,TO,Sh,Fld,Def_GCA,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
37,Moses Simon,15,9,1,2,2,1,0,2627,2024-2025,29,ng NGA,Nantes,fr Ligue 1,32,FWMF,5f3eaaf5
38,Jarrod Bowen,15,11,2,1,1,0,0,2980,2024-2025,27,eng ENG,West Ham,eng Premier League,34,FWMF,79c84d1c
39,Ademola Lookman,15,10,0,3,1,1,0,2266,2024-2025,26,ng NGA,Atalanta,it Serie A,31,MFFW,7c104bb7
40,Zuriko Davitashvili,15,8,1,4,0,2,0,2790,2024-2025,23,ge GEO,Saint-Étienne,fr Ligue 1,33,FWMF,88b4d2e3
41,Son Heung-min,15,13,0,0,1,1,0,2122,2024-2025,32,kr KOR,Tottenham,eng Premier League,30,FW,92e7e919
42,Ousmane Dembélé,15,11,0,1,2,1,0,1745,2024-2025,27,fr FRA,Paris S-G,fr Ligue 1,29,FW,b19db005
43,Cole Palmer,15,11,0,2,1,1,0,3201,2024-2025,22,eng ENG,Chelsea,eng Premier League,37,MFFW,dc7f8a28
44,Jacob Murphy,15,14,0,0,0,1,0,2385,2024-2025,29,eng ENG,Newcastle Utd,eng Premier League,35,FW,de112b84
45,Luis Henrique,15,15,0,0,0,0,0,2625,2024-2025,22,br BRA,Marseille,fr Ligue 1,33,DFFW,f36d5624
46,Sávio,15,10,0,2,1,1,1,1779,2024-2025,20,br BRA,Manchester City,eng Premier League,29,FWMF,fe6e7156
47,Christian Pulisic,14,6,3,0,3,1,1,2496,2024-2025,25,us USA,Milan,it Serie A,34,FWMF,1bf33a9a
48,Tim Kleindienst,14,9,1,0,1,2,1,2744,2024-2025,28,de GER,Gladbach,de Bundesliga,31,FW,258a6f4d
49,Charles De Ketelaere,14,11,0,1,2,0,0,2089,2024-2025,23,be BEL,Atalanta,it Serie A,36,MFFW,2ef7c612
50,Andrej Kramarić,14,11,1,0,1,1,0,2781,2024-2025,33,hr CRO,Hoffenheim,de Bundesliga,32,MFFW,603cb947
51,Iñaki Williams,14,10,0,3,1,0,0,2660,2024-2025,30,gh GHA,Athletic Club,es La Liga,35,FW,6a99e0b1
52,Alexander Isak,14,11,0,1,0,1,1,2774,2024-2025,24,se SWE,Newcastle Utd,eng Premier League,34,FW,8e92be30
53,Ante Budimir,14,3,0,1,2,8,0,2971,2024-2025,33,hr CRO,Osasuna,es La Liga,38,FW,8f3565b3
54,Federico Dimarco,14,10,2,0,2,0,0,2200,2024-2025,26,it ITA,Inter,it Serie A,33,DFFW,970b8574
55,Alassane Pléa,14,10,1,2,0,1,0,1920,2024-2025,31,fr FRA,Gladbach,de Bundesliga,30,MFFW,bc6bd723
56,Valentín Castellanos,14,7,0,1,3,2,1,2395,2024-2025,25,ar ARG,Lazio,it Serie A,29,FW,da76bab4
57,Álex Berenguer,14,6,4,2,1,1,0,2361,2024-2025,29,es ESP,Athletic Club,es La Liga,36,FWMF,dc1c2fce
58,Khvicha Kvaratskhelia,14,10,0,3,1,0,0,2112,2024-2025,23,ge GEO,2 Teams,2 Comps,31,FWMF,dea88efd
59,Mateo Retegui,14,11,0,0,2,1,0,2408,2024-2025,25,it ITA,Atalanta,it Serie A,36,FW,e7695e6c
60,Dani Raba,14,8,1,3,0,1,1,1895,2024-2025,28,es ESP,Leganés,es La Liga,29,FWMF,ea6a7ab4
61,Jeremy Doku,14,11,0,3,0,0,0,1526,2024-2025,22,be BEL,Manchester City,eng Premier League,29,FWMF,fffea3e5
62,Mohamed Amoura,13,12,0,1,0,0,0,2487,2024-2025,24,dz ALG,Wolfsburg,de Bundesliga,31,FW,6597f8b6
63,Iago Aspas,13,11,0,0,1,1,0,1754,2024-2025,36,es ESP,Celta Vigo,es La Liga,30,FWMF,7dcf86f6
64,Serge Gnabry,13,8,0,4,0,0,1,1250,2024-2025,29,de GER,Bayern Munich,de Bundesliga,27,FWMF,88e357ef
65,Nico Williams,13,9,2,1,0,1,0,2005,2024-2025,22,es ESP,Athletic Club,es La Liga,29,FW,afdc14d7
66,Yankuba Minteh,13,6,0,6,1,0,0,1855,2024-2025,20,gm GAM,Brighton,eng Premier League,32,FWMF,c3cf087d
67,Antoine Griezmann,13,12,0,0,1,0,0,2489,2024-2025,33,fr FRA,Atlético Madrid,es La Liga,38,FWMF,df69b544
68,Antoine Semenyo,13,7,1,2,1,2,0,3211,2024-2025,24,gh GHA,Bournemouth,eng Premier League,37,FW,efd2ec23
69,Anthony Gordon,12,9,1,1,0,1,0,2452,2024-2025,23,eng ENG,Newcastle Utd,eng Premier League,34,FWMF,2bd83368
70,Brahim Díaz,12,7,0,1,3,0,1,1395,2024-2025,24,ma MAR,Real Madrid,es La Liga,31,FWMF,407feb71
71,Georges Mikautadze,12,8,0,2,0,2,0,1455,2024-2025,23,ge GEO,Lyon,fr Ligue 1,34,FW,4788cb6b
72,Hugo Ekitike,12,9,0,2,0,1,0,2585,2024-2025,22,fr FRA,Eint Frankfurt,de Bundesliga,33,FW,5b92d896
73,Rubén García,12,8,1,0,1,2,0,2439,2024-2025,31,es ESP,Osasuna,es La Liga,36,FWMF,5c96b017
74,Marvin Ducksch,12,9,2,0,1,0,0,2437,2024-2025,30,de GER,Werder Bremen,de Bundesliga,32,FW,638a4d71
75,Dani Rodríguez,12,9,2,0,0,1,0,2186,2024-2025,36,es ESP,Mallorca,es La Liga,37,MFFW,70f8e0bd
76,Dani Olmo,12,3,1,3,1,4,0,1225,2024-2025,26,es ESP,Barcelona,es La Liga,25,MFFW,ae44e8e2
77,Ollie Watkins,12,8,0,1,1,2,0,2617,2024-2025,28,eng ENG,Aston Villa,eng Premier League,38,FW,aed3a70f
78,Patrick Wimmer,12,7,1,1,1,1,1,1787,2024-2025,23,at AUT,Wolfsburg,de Bundesliga,29,MFFW,cb11b429
79,Robin Hack,11,10,0,0,0,1,0,2195,2024-2025,25,de GER,Gladbach,de Bundesliga,33,FWMF,0174ba21
80,Kingsley Coman,11,6,0,3,1,1,0,1293,2024-2025,28,fr FRA,Bayern Munich,de Bundesliga,28,FW,042e8a49
81,Jean-Ricner Bellegarde,11,8,1,0,0,1,1,1695,2024-2025,26,fr FRA,Wolves,eng Premier League,35,MFFW,10f0fdd3
82,Callum Hudson-Odoi,11,7,0,2,0,2,0,2210,2024-2025,23,eng ENG,Nott'ham Forest,eng Premier League,31,FWMF,15f3ec41
83,Arda Güler,11,4,3,1,2,1,0,1261,2024-2025,19,tr TUR,Real Madrid,es La Liga,28,MFFW,3741ca58
84,Karim Adeyemi,11,7,0,3,1,0,0,1447,2024-2025,22,de GER,Dortmund,de Bundesliga,25,FWMF,501055d8
85,Yeremi Pino,11,8,0,0,2,1,0,1958,2024-2025,21,es ESP,Villarreal,es La Liga,34,MFFW,540ec57b
86,Marcus Tavernier,11,5,3,0,2,1,0,1948,2024-2025,25,eng ENG,Bournemouth,eng Premier League,29,FWMF,5c0da4a4
87,Malick Fofana,11,8,0,2,1,0,0,1599,2024-2025,19,be BEL,Lyon,fr Ligue 1,29,FW,8236f673
88,Amine Gouiri,11,6,1,2,2,0,0,2097,2024-2025,24,dz ALG,2 Teams,fr Ligue 1,33,FWMF,aad56ca3
89,Farid El Melali,11,3,2,1,0,3,2,1911,2024-2025,27,dz ALG,Angers,fr Ligue 1,32,FW,d21e361a
90,Kevin De Bruyne,11,9,1,0,1,0,0,1714,2024-2025,33,be BEL,Manchester City,eng Premier League,28,MFFW,e46012d4
91,Santiago Castro,11,8,0,2,1,0,0,2310,2024-2025,19,ar ARG,Bologna,it Serie A,36,FW,ee5565ae
92,Mohamed Ali Cho,11,8,0,1,1,1,0,1642,2024-2025,20,fr FRA,Nice,fr Ligue 1,27,FWMF,f8405304
93,Breel Embolo,10,6,0,1,2,1,0,1852,2024-2025,27,ch SUI,Monaco,fr Ligue 1,29,FWMF,0b4f388a
94,Jamie Gittens,10,4,0,6,0,0,0,1793,2024-2025,19,eng ENG,Dortmund,de Bundesliga,32,FWMF,10745192
95,Yoane Wissa,10,8,0,0,1,1,0,2930,2024-2025,27,cd COD,Brentford,eng Premier League,35,FW,2500cef9
96,Jorge de Frutos,10,5,0,3,0,1,1,2518,2024-2025,27,es ESP,Rayo Vallecano,es La Liga,36,FWMF,38ce1150
