Rk,Player,Cmp_Total,Att_Total,Cmp%_Total,Key_Passes,Passes_into_Final_Third,Passes_into_Penalty_Area,Crosses_into_Penalty_Area,Progressive_Passes,Total_Distance,Progressive_Distance,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
28,Kylian Mbappé,949,1145,0.8290000000000001,51,75,52,3,140,13622,2382,575,652,0.882,250,292,0.856,62,78,0.795,2918,2024-2025,25,fr FRA,Real Madrid,es La Liga,34,FW,42fd9c7f
29,Rodrygo,939,1093,0.8590000000000001,49,66,26,2,108,12276,3000,619,652,0.949,234,272,0.86,35,85,0.412,1945,2024-2025,23,br BRA,Real Madrid,es La Liga,30,FWMF,8f5e92a6
30,Désiré Doué,933,1133,0.823,55,83,51,16,139,13916,3351,518,570,0.909,330,399,0.8270000000000001,48,88,0.545,1743,2024-2025,19,fr FRA,Paris S-G,fr Ligue 1,31,FWMF,9e7483ff
31,Loïc Nego,922,1228,0.7509999999999999,13,83,30,15,102,15621,6488,462,520,0.888,368,471,0.7809999999999999,80,184,0.435,2466,2024-2025,33,hu HUN,Le Havre,fr Ligue 1,31,DFFW,c3b6fa1e
32,Kevin De Bruyne,908,1196,0.759,57,88,59,13,157,15487,4454,459,537,0.855,346,449,0.7709999999999999,90,159,0.5660000000000001,1714,2024-2025,33,be BEL,Manchester City,eng Premier League,28,MFFW,e46012d4
33,Rubén García,903,1215,0.743,49,77,31,16,112,15826,3984,441,520,0.848,302,380,0.795,119,209,0.569,2439,2024-2025,31,es ESP,Osasuna,es La Liga,36,FWMF,5c96b017
34,Kenan Yıldız,896,1124,0.797,57,70,52,13,121,13767,3753,518,579,0.895,307,377,0.8140000000000001,53,113,0.469,2414,2024-2025,19,tr TUR,Juventus,it Serie A,35,FWMF,d8cda243
35,Mohamed Salah,892,1263,0.706,88,53,93,15,144,13343,3919,501,601,0.8340000000000001,302,433,0.6970000000000001,59,100,0.59,3380,2024-2025,32,eg EGY,Liverpool,eng Premier League,38,FW,e342ad68
36,Pablo Fornals,887,1109,0.8,36,93,33,8,146,14428,4985,452,512,0.883,333,417,0.799,72,112,0.643,1841,2024-2025,28,es ESP,Betis,es La Liga,26,MFFW,82927de4
37,Valentino Lazaro,880,1172,0.7509999999999999,33,57,23,15,76,14662,4254,442,507,0.872,352,441,0.7979999999999999,74,175,0.423,2324,2024-2025,28,at AUT,Torino,it Serie A,33,DFFW,016ff750
