Player,Season,Team,Comp,xG,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Position,Player_ID
Mathias Pereira Lage,2024-2025,Brest,fr Ligue 1,3.3,3.3,3.5,6.8,3.5,6.8,-1.2999999999999998,-1.2999999999999998,3.5,0.09,FWMF,8846a40f
Federico Dimarco,2024-2025,Inter,it Serie A,3.3,3.3,6.1,9.4,6.1,9.4,0.7000000000000002,0.7000000000000002,0.9000000000000004,0.06,DFFW,970b8574
Patrick Dorgu,2024-2025,Lecce,it Serie A,3.3,3.3,1.5,4.8,1.5,4.8,-0.2999999999999998,-0.2999999999999998,-0.5,0.09,DFFW,e6536124
Luis Rioja,2024-2025,2 Teams,es La Liga,3.3,1.7,4.6,7.899999999999999,4.6,6.3,1.7000000000000002,1.3,-1.5999999999999996,0.06,FW,eb3dd471
Milan Đurić,2024-2025,2 Teams,it Serie A,3.2,3.2,1.1,4.300000000000001,1.1,4.300000000000001,1.7999999999999998,1.7999999999999998,-0.1,0.11,FW,405f6586
Rubén García,2024-2025,Osasuna,es La Liga,3.2,3.2,3.6,6.800000000000001,3.6,6.800000000000001,1.7999999999999998,1.7999999999999998,1.4,0.12,FWMF,5c96b017
Amin Sarr,2024-2025,Hellas Verona,it Serie A,3.2,3.2,2.1,5.300000000000001,2.1,5.300000000000001,0.7999999999999998,0.7999999999999998,-1.1,0.15,FW,d5326924
Fabio Miretti,2024-2025,Genoa,it Serie A,3.1,3.1,2.0,5.1,2.0,5.1,-0.1,-0.1,1.0,0.13,MFFW,34693494
Keane Lewis-Potter,2024-2025,Brentford,eng Premier League,3.1,3.1,3.2,6.300000000000001,3.2,6.300000000000001,-2.1,-2.1,-0.2000000000000001,0.11,DFFW,41f08ac8
Oladapo Afolayan,2024-2025,St. Pauli,de Bundesliga,3.1,3.1,3.8,6.9,3.8,6.9,-0.1,-0.1,-2.8,0.08,FWMF,5054c359
Matteo Politano,2024-2025,Napoli,it Serie A,3.1,3.1,4.8,7.9,4.8,7.9,-0.1,-0.1,-0.7999999999999998,0.06,FWMF,5e861944
John McGinn,2024-2025,Aston Villa,eng Premier League,3.1,2.8,3.5,6.6,3.5,6.3,-2.1,-1.7999999999999998,0.5,0.09,MFFW,90f91999
Santiago Pierotti,2024-2025,Lecce,it Serie A,3.1,3.1,2.4,5.5,2.4,5.5,0.8999999999999999,0.8999999999999999,-0.3999999999999999,0.1,FW,ec315772
Nathan Tella,2024-2025,Leverkusen,de Bundesliga,3.1,3.1,1.5,4.6,1.5,4.6,-1.1,-1.1,2.5,0.11,MFFW,f1e94cd6
Mama Samba Baldé,2024-2025,2 Teams,fr Ligue 1,3.1,3.1,2.1,5.2,2.1,5.2,-1.1,-1.1,0.8999999999999999,0.1,FW,fb14aa28
John Yeboah,2024-2025,Venezia,it Serie A,3.0,3.0,1.9,4.9,1.9,4.9,-2.0,-2.0,-0.8999999999999999,0.1,FWMF,8dfdc6c3
Mitchel Bakker,2024-2025,Lille,fr Ligue 1,3.0,3.0,2.7,5.7,2.7,5.7,0.0,0.0,-0.7000000000000002,0.13,FWDF,a8567629
Tete Morente,2024-2025,Lecce,it Serie A,2.9,2.9,1.6,4.5,1.6,4.5,0.1,0.1,0.3999999999999999,0.07,FWMF,004d185e
Antonio Sanabria,2024-2025,Torino,it Serie A,2.9,2.1,0.5,3.4,0.5,2.6,-0.8999999999999999,-0.1,0.5,0.12,FW,0a447501
Matias Fernandez-Pardo,2024-2025,Lille,fr Ligue 1,2.9,2.9,2.8,5.699999999999999,2.8,5.699999999999999,1.1,1.1,-0.7999999999999998,0.12,FWMF,0cdb6a2a
Chris Führich,2024-2025,Stuttgart,de Bundesliga,2.9,2.9,3.7,6.6,3.7,6.6,-0.8999999999999999,-0.8999999999999999,-0.7000000000000002,0.08,MFFW,0cf778df
Osame Sahraoui,2024-2025,Lille,fr Ligue 1,2.9,2.9,3.6,6.5,3.6,6.5,0.1,0.1,-0.6000000000000001,0.13,FWMF,6f9fa232
Antony,2024-2025,Betis,es La Liga,2.9,2.9,3.5,6.4,3.5,6.4,2.1,2.1,-1.5,0.07,FW,99127249
Keinan Davis,2024-2025,Udinese,it Serie A,2.9,2.9,2.1,5.0,2.1,5.0,-0.8999999999999999,-0.8999999999999999,-1.1,0.1,FW,9deaf2c8
Mario Götze,2024-2025,Eint Frankfurt,de Bundesliga,2.9,2.9,3.1,6.0,3.1,6.0,0.1,0.1,-1.1,0.37,MFFW,9efa1d25
Omari Hutchinson,2024-2025,Ipswich Town,eng Premier League,2.9,2.9,3.5,6.4,3.5,6.4,0.1,0.1,-1.5,0.06,MFFW,bd9553e6
Mikkel Damsgaard,2024-2025,Brentford,eng Premier League,2.8,2.8,8.4,11.2,8.4,11.2,-0.7999999999999998,-0.7999999999999998,1.5999999999999996,0.08,MFFW,215f3907
Jeong Woo-yeong,2024-2025,Union Berlin,de Bundesliga,2.8,2.8,1.7,4.5,1.7,4.5,0.2000000000000001,0.2000000000000001,0.3,0.11,MFFW,6190474d
Dani Rodríguez,2024-2025,Mallorca,es La Liga,2.8,2.8,3.1,5.9,3.1,5.9,1.2000000000000002,1.2000000000000002,3.9,0.09,MFFW,70f8e0bd
Morten Thorsby,2024-2025,Genoa,it Serie A,2.8,2.8,2.1,4.9,2.1,4.9,-2.8,-2.8,-1.1,0.19,MFFW,d1b49282
Viktor Tsyhankov,2024-2025,Girona,es La Liga,2.8,2.8,3.9,6.699999999999999,3.9,6.699999999999999,-0.7999999999999998,-0.7999999999999998,1.1,0.08,FWMF,f7e87032
Badredine Bouanani,2024-2025,Nice,fr Ligue 1,2.7,1.9,2.4,5.1,2.4,4.3,0.2999999999999998,0.1,0.6000000000000001,0.06,MFFW,0400dd2f
Takuma Asano,2024-2025,Mallorca,es La Liga,2.7,2.7,0.7,3.4000000000000004,0.7,3.4000000000000004,-0.7000000000000002,-0.7000000000000002,0.3,0.1,FWMF,13ddc856
David Neres,2024-2025,Napoli,it Serie A,2.7,2.7,3.5,6.2,3.5,6.2,-0.7000000000000002,-0.7000000000000002,0.5,0.09,FW,4f1e6a0b
Andrea Colpani,2024-2025,Fiorentina,it Serie A,2.7,2.7,1.3,4.0,1.3,4.0,-0.7000000000000002,-0.7000000000000002,-0.3,0.07,FWMF,6499048c
Kamory Doumbia,2024-2025,Brest,fr Ligue 1,2.7,2.7,1.2,3.9,1.2,3.9,0.2999999999999998,0.2999999999999998,0.8,0.13,MFFW,9226aa22
Julio Enciso,2024-2025,2 Teams,eng Premier League,2.7,2.7,1.6,4.300000000000001,1.6,4.300000000000001,-0.7000000000000002,-0.7000000000000002,1.4,0.05,MFFW,9cfbad36
Bryan Zaragoza,2024-2025,Osasuna,es La Liga,2.7,2.7,3.2,5.9,3.2,5.9,-1.7000000000000002,-1.7000000000000002,2.8,0.06,FWMF,a96103b2
Marcos André,2024-2025,Valladolid,es La Liga,2.7,2.7,0.8,3.5,0.8,3.5,-1.7000000000000002,-1.7000000000000002,1.2,0.12,FW,ae86d473
Matteo Cancellieri,2024-2025,Parma,it Serie A,2.7,2.7,0.7,3.4000000000000004,0.7,3.4000000000000004,0.2999999999999998,0.2999999999999998,-0.7,0.12,FWMF,b6a1cdf9
Juan Cruz,2024-2025,Leganés,es La Liga,2.7,2.7,4.1,6.8,4.1,6.8,2.3,2.3,-0.0999999999999996,0.08,FWMF,cc2dd8a5
Fares Chaïbi,2024-2025,Eint Frankfurt,de Bundesliga,2.6,2.6,2.9,5.5,2.9,5.5,-1.6,-1.6,0.1,0.1,MFFW,357103bd
Randy Nteka,2024-2025,Rayo Vallecano,es La Liga,2.6,2.6,0.5,3.1,0.5,3.1,0.3999999999999999,0.3999999999999999,-0.5,0.16,FW,a6103274
Jofre,2024-2025,Espanyol,es La Liga,2.5,2.5,2.5,5.0,2.5,5.0,0.5,0.5,0.5,0.06,MFFW,030ef8d6
Callum Hudson-Odoi,2024-2025,Nott'ham Forest,eng Premier League,2.5,2.5,2.7,5.2,2.7,5.2,2.5,2.5,-0.7000000000000002,0.07,FWMF,15f3ec41
Simon Adingra,2024-2025,Brighton,eng Premier League,2.5,2.5,2.5,5.0,2.5,5.0,-0.5,-0.5,-0.5,0.07,FWMF,4dcec659
Bertuğ Yıldırım,2024-2025,Getafe,es La Liga,2.5,2.5,1.2,3.7,1.2,3.7,-1.5,-1.5,-1.2,0.13,FW,7410d325
Yassine Kechta,2024-2025,Le Havre,fr Ligue 1,2.5,2.5,1.2,3.7,1.2,3.7,-0.5,-0.5,-1.2,0.09,MFFW,abefc3af
Tyler Dibling,2024-2025,Southampton,eng Premier League,2.5,2.5,1.5,4.0,1.5,4.0,-0.5,-0.5,-1.5,0.09,FWMF,bdcc89ae
Peque,2024-2025,Sevilla,es La Liga,2.5,2.5,1.2,3.7,1.2,3.7,-1.5,-1.5,-0.1999999999999999,0.13,MFFW,cb971b4f
Alexis Saelemaekers,2024-2025,2 Teams,it Serie A,2.5,2.5,2.7,5.2,2.7,5.2,4.5,4.5,0.2999999999999998,0.1,DFFW,ee251371
Angelo Fulgini,2024-2025,Lens,fr Ligue 1,2.4,2.4,3.8,6.199999999999999,3.8,6.199999999999999,-1.4,-1.4,-2.8,0.09,MFFW,4b96c347
Valentin Mihaila,2024-2025,Parma,it Serie A,2.4,2.4,1.2,3.6,1.2,3.6,-2.4,-2.4,1.8,0.08,FWMF,81a4c239
Carles Pérez,2024-2025,Getafe,es La Liga,2.4,2.4,1.5,3.9,1.5,3.9,0.6000000000000001,0.6000000000000001,-1.5,0.07,MFFW,a8f21b9f
Wahbi Khazri,2024-2025,Montpellier,fr Ligue 1,2.3,2.3,2.2,4.5,2.2,4.5,-1.2999999999999998,-1.2999999999999998,-1.2000000000000002,0.06,FWMF,2677a1de
