Rk,Player,Won,Lost,Won%,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
221,Himad Abdelli,13,20,39.4,2842,2024-2025,24,dz ALG,Angers,fr Ligue 1,32,MFFW,7978cbf0
222,Anthony Elanga,24,37,39.3,2501,2024-2025,22,se SWE,Nott'ham Forest,eng Premier League,38,FWMF,2fba6108
223,Nico Williams,11,17,39.3,1996,2024-2025,22,es ESP,Athletic Club,es La Liga,29,FW,afdc14d7
224,Alex Sola,18,28,39.1,1029,2024-2025,25,es ESP,Getafe,es La Liga,19,MFFW,5fa714d5
225,Shuto Machino,27,42,39.1,1953,2024-2025,24,jp JPN,Holstein Kiel,de Bundesliga,32,FWMF,964dde35
226,Marius Bülter,18,28,39.1,1729,2024-2025,31,de GER,Hoffenheim,de Bundesliga,25,FWDF,ab5b7dc1
227,Mohamed Salah,9,14,39.1,3371,2024-2025,32,eg EGY,Liverpool,eng Premier League,38,FW,e342ad68
228,Valentino Lazaro,16,25,39.0,2307,2024-2025,28,at AUT,Torino,it Serie A,33,DFFW,016ff750
229,Arda Güler,7,11,38.9,1250,2024-2025,19,tr TUR,Real Madrid,es La Liga,28,MFFW,3741ca58
230,Julio Enciso,14,22,38.9,1163,2024-2025,20,py PAR,2 Teams,eng Premier League,25,MFFW,9cfbad36
231,Randal Kolo Muani,19,30,38.8,1518,2024-2025,25,fr FRA,2 Teams,2 Comps,26,FW,c0b3669f
232,Takumi Minamino,19,30,38.8,2231,2024-2025,29,jp JPN,Monaco,fr Ligue 1,31,MFFW,f833a830
233,Adrià Altimira,12,19,38.7,1630,2024-2025,23,es ESP,Leganés,es La Liga,22,DFFW,757a3431
234,Arnaud Nordin,12,19,38.7,1166,2024-2025,26,fr FRA,Montpellier,fr Ligue 1,16,FW,7b9a9e25
235,Emmanuel Gyasi,43,68,38.7,3217,2024-2025,30,gh GHA,Empoli,it Serie A,37,DFFW,f9758dae
236,Roberto Férnandez,34,54,38.6,1497,2024-2025,22,es ESP,Espanyol,es La Liga,19,FW,c981fc98
237,Chris Führich,5,8,38.5,1981,2024-2025,26,de GER,Stuttgart,de Bundesliga,33,MFFW,0cf778df
238,Jorge de Frutos,15,24,38.5,2495,2024-2025,27,es ESP,Rayo Vallecano,es La Liga,36,FWMF,38ce1150
239,Mika Biereth,18,29,38.3,1228,2024-2025,21,dk DEN,Monaco,fr Ligue 1,16,FW,a1d95db3
240,Derrick Köhn,8,13,38.1,1343,2024-2025,25,de GER,Werder Bremen,de Bundesliga,27,DFFW,b735b590
241,Loïs Openda,19,31,38.0,2453,2024-2025,24,be BEL,RB Leipzig,de Bundesliga,33,FWMF,8652a85c
242,Alexis Claude-Maurice,14,23,37.8,2109,2024-2025,26,fr FRA,Augsburg,de Bundesliga,28,MFFW,741418c3
243,Junya Ito,17,28,37.8,2690,2024-2025,31,jp JPN,Reims,fr Ligue 1,33,FWMF,dbd3a428
244,Darwin Núñez,20,33,37.7,1133,2024-2025,25,uy URU,Liverpool,eng Premier League,30,FW,4d77b365
245,Lucas Beltrán,32,53,37.6,1953,2024-2025,23,ar ARG,Fiorentina,it Serie A,33,FWMF,482d2bc3
246,Pontus Almqvist,9,15,37.5,1112,2024-2025,25,se SWE,Parma,it Serie A,29,FWMF,0917188a
247,Stephy Mavididi,9,15,37.5,1615,2024-2025,26,eng ENG,Leicester City,eng Premier League,30,FW,30144daa
248,Angelo Fulgini,9,15,37.5,1045,2024-2025,27,fr FRA,Lens,fr Ligue 1,23,MFFW,4b96c347
249,Assane Diao,24,40,37.5,1529,2024-2025,18,sn SEN,2 Teams,2 Comps,25,FWMF,8ae7d0ec
250,John Yeboah,6,10,37.5,1226,2024-2025,24,ec ECU,Venezia,it Serie A,33,FWMF,8dfdc6c3
251,Marvin Pieringer,73,124,37.1,2206,2024-2025,24,de GER,Heidenheim,de Bundesliga,31,FWMF,11407d95
252,Eliesse Ben Seghir,13,22,37.1,1750,2024-2025,19,ma MAR,Monaco,fr Ligue 1,33,MFFW,3bd65247
253,Jean-Philippe Mateta,63,107,37.1,2648,2024-2025,27,fr FRA,Crystal Palace,eng Premier League,37,FW,50e6dc35
254,André Ayew,37,63,37.0,1453,2024-2025,34,gh GHA,Le Havre,fr Ligue 1,27,FW,5dbefa9d
255,Marvin,10,17,37.0,1038,2024-2025,24,es ESP,Las Palmas,es La Liga,23,DFFW,efaefda0
256,Hugo Duro,59,101,36.9,2166,2024-2025,24,es ESP,Valencia,es La Liga,31,FW,37e103f8
257,Nicolas Jackson,21,36,36.8,2220,2024-2025,23,sn SEN,Chelsea,eng Premier League,30,FW,9c36ed83
258,Takefusa Kubo,11,19,36.7,2372,2024-2025,23,jp JPN,Real Sociedad,es La Liga,36,MFFW,16aa3654
259,Noni Madueke,11,19,36.7,2033,2024-2025,22,eng ENG,Chelsea,eng Premier League,32,FW,bf34eebd
260,Zakaria Aboukhlal,22,38,36.7,1901,2024-2025,24,ma MAR,Toulouse,fr Ligue 1,26,MFFW,c2a6033c
261,Che Adams,36,62,36.7,2652,2024-2025,28,sct SCO,Torino,it Serie A,36,FW,f2bf1b0f
262,Neal Maupay,8,14,36.4,1042,2024-2025,27,fr FRA,2 Teams,2 Comps,22,FWMF,4bcf39f6
263,Yunus Musah,8,14,36.4,1571,2024-2025,21,us USA,Milan,it Serie A,29,MFFW,b51b1b9c
264,Isaac Romero,29,51,36.3,2156,2024-2025,24,es ESP,Sevilla,es La Liga,31,FW,be719093
265,Carlos Vicente,34,60,36.2,3092,2024-2025,25,es ESP,Alavés,es La Liga,37,FWMF,90df343e
266,Félix Lemaréchal,14,25,35.9,1779,2024-2025,20,fr FRA,Strasbourg,fr Ligue 1,27,MFFW,8ca9415f
267,Alexander Bernhardsson,19,34,35.8,1263,2024-2025,25,se SWE,Holstein Kiel,de Bundesliga,19,FWMF,dea1d183
268,Adam Armstrong,5,9,35.7,1248,2024-2025,27,eng ENG,Southampton,eng Premier League,20,FWMF,68c720b5
269,Yann Karamoh,5,9,35.7,1046,2024-2025,26,fr FRA,Torino,it Serie A,29,MFFW,8b66d9cc
270,Ferrán Torres,5,9,35.7,1106,2024-2025,24,es ESP,Barcelona,es La Liga,27,FWMF,9e1035f8
271,Roberto Navarro,5,9,35.7,1278,2024-2025,22,es ESP,Mallorca,es La Liga,23,MFFW,c997b942
272,Eddie Nketiah,21,38,35.6,1034,2024-2025,25,eng ENG,2 Teams,eng Premier League,29,FW,a53649b7
273,Mahdi Camara,17,31,35.4,2659,2024-2025,26,fr FRA,Brest,fr Ligue 1,34,MFFW,8577e60a
274,Andrea Cambiaso,6,11,35.3,2221,2024-2025,24,it ITA,Juventus,it Serie A,33,DFFW,247ed022
275,Jadon Sancho,6,11,35.3,1764,2024-2025,24,eng ENG,Chelsea,eng Premier League,31,FW,dbf053da
276,Georginio Rutter,25,46,35.2,1656,2024-2025,22,fr FRA,Brighton,eng Premier League,28,MFFW,c64c01fc
277,Santiago Castro,37,68,35.2,2294,2024-2025,19,ar ARG,Bologna,it Serie A,36,FW,ee5565ae
278,Gustav Isaksen,13,24,35.1,2210,2024-2025,23,dk DEN,Lazio,it Serie A,37,FW,5715bb71
279,Álex Berenguer,27,50,35.1,2339,2024-2025,29,es ESP,Athletic Club,es La Liga,36,FWMF,dc1c2fce
280,Jacob Ramsey,7,13,35.0,1623,2024-2025,23,eng ENG,Aston Villa,eng Premier League,29,FWMF,1544f145
281,Federico Dimarco,7,13,35.0,2177,2024-2025,26,it ITA,Inter,it Serie A,33,DFFW,970b8574
282,Aitor Ruibal,7,13,35.0,1313,2024-2025,28,es ESP,Betis,es La Liga,29,DFFW,a55d8df5
283,Williot Swedberg,8,15,34.8,1348,2024-2025,20,se SWE,Celta Vigo,es La Liga,32,FWMF,184fe4b2
284,Danny Welbeck,17,32,34.7,2115,2024-2025,33,eng ENG,Brighton,eng Premier League,30,FW,ce5143da
285,Dennis Man,9,17,34.6,1995,2024-2025,25,ro ROU,Parma,it Serie A,33,FWMF,2079b3cc
286,Jean-Ricner Bellegarde,10,19,34.5,1677,2024-2025,26,fr FRA,Wolves,eng Premier League,35,MFFW,10f0fdd3
287,Musa Al-Taamari,10,19,34.5,1683,2024-2025,27,jo JOR,2 Teams,fr Ligue 1,26,FWMF,f15f8b2b
288,Anastasios Douvikas,22,42,34.4,1280,2024-2025,24,gr GRE,2 Teams,2 Comps,33,FW,853ca71c
289,Gorka Guruzeta,36,69,34.3,1840,2024-2025,27,es ESP,Athletic Club,es La Liga,36,FW,6b5ea2f4
290,Jeong Woo-yeong,14,27,34.1,1263,2024-2025,24,kr KOR,Union Berlin,de Bundesliga,23,MFFW,6190474d
291,Borja Iglesias,14,27,34.1,1952,2024-2025,31,es ESP,Celta Vigo,es La Liga,37,FW,75645f0e
292,Lucas Stassin,15,29,34.1,1887,2024-2025,19,be BEL,Saint-Étienne,fr Ligue 1,28,FW,a47d6f3a
293,Diego,43,83,34.1,1195,2024-2025,24,es ESP,Leganés,es La Liga,28,FW,b85a5126
294,Vitor Roque,15,29,34.1,1235,2024-2025,19,br BRA,Betis,es La Liga,22,FW,cb00f1e6
295,Óscar Rodríguez Arnaiz,12,24,33.3,1330,2024-2025,26,es ESP,Leganés,es La Liga,29,MFFW,19709006
296,Ander Barrenetxea,7,14,33.3,1263,2024-2025,22,es ESP,Real Sociedad,es La Liga,30,MFFW,200e89e1
297,Florian Thauvin,5,10,33.3,1956,2024-2025,31,fr FRA,Udinese,it Serie A,25,FWMF,2b9fdeea
298,Jesper Lindstrøm,6,12,33.3,1239,2024-2025,24,dk DEN,Everton,eng Premier League,25,FW,37dc1a48
299,Gianluca Gaetano,10,20,33.3,1009,2024-2025,24,it ITA,2 Teams,it Serie A,28,MFFW,3b387cc7
300,Bernardo Silva,5,10,33.3,2670,2024-2025,29,pt POR,Manchester City,eng Premier League,33,MFFW,3eb22ec9
301,Facundo Buonanotte,18,36,33.3,1523,2024-2025,19,ar ARG,Leicester City,eng Premier League,31,FWMF,468a7a91
302,Lee Kang-in,5,10,33.3,1663,2024-2025,23,kr KOR,Paris S-G,fr Ligue 1,30,FWMF,8455ad90
303,Álvaro García,9,18,33.3,2559,2024-2025,31,es ESP,Rayo Vallecano,es La Liga,36,FWMF,90bbd822
304,Raúl Moro,8,16,33.3,2341,2024-2025,21,es ESP,Valladolid,es La Liga,33,MFFW,919dd4b1
305,Son Heung-min,6,12,33.3,2110,2024-2025,32,kr KOR,Tottenham,eng Premier League,30,FW,92e7e919
306,Alexandre Lacazette,16,32,33.3,2051,2024-2025,33,fr FRA,Lyon,fr Ligue 1,30,FW,9dbb75ca
307,Rayan Cherki,4,8,33.3,2041,2024-2025,20,fr FRA,Lyon,fr Ligue 1,30,FWMF,b34c63a5
308,Bukayo Saka,10,20,33.3,1729,2024-2025,22,eng ENG,Arsenal,eng Premier League,25,FWMF,bc7dc64d
309,Fermin López,9,18,33.3,1252,2024-2025,21,es ESP,Barcelona,es La Liga,28,MFFW,c1fe5f0b
310,Yankuba Minteh,17,34,33.3,1838,2024-2025,20,gm GAM,Brighton,eng Premier League,32,FWMF,c3cf087d
311,Keito Nakamura,7,14,33.3,2649,2024-2025,24,jp JPN,Reims,fr Ligue 1,32,FWMF,d97af612
312,Viktor Tsyhankov,9,18,33.3,1913,2024-2025,26,ua UKR,Girona,es La Liga,27,FWMF,f7e87032
313,Sávio,1,2,33.3,1766,2024-2025,20,br BRA,Manchester City,eng Premier League,29,FWMF,fe6e7156
314,Junior Adamu,53,108,32.9,1545,2024-2025,23,at AUT,Freiburg,de Bundesliga,25,FW,82e12fe7
315,Frank Magri,40,82,32.8,1516,2024-2025,24,cm CMR,Toulouse,fr Ligue 1,31,FWMF,42fdb11d
316,Valentin Mihaila,13,27,32.5,1288,2024-2025,24,ro ROU,Parma,it Serie A,21,FWMF,81a4c239
317,Kamaldeen Sulemana,13,27,32.5,1402,2024-2025,22,gh GHA,Southampton,eng Premier League,26,FWMF,a62f8bf1
318,Carles Pérez,13,27,32.5,1431,2024-2025,26,es ESP,Getafe,es La Liga,27,MFFW,a8f21b9f
319,Mohamed Ali Cho,13,27,32.5,1621,2024-2025,20,fr FRA,Nice,fr Ligue 1,27,FWMF,f8405304
320,Omar Marmoush,12,25,32.4,2623,2024-2025,25,eg EGY,2 Teams,2 Comps,33,FWMF,0e0102eb
321,Fabio Miretti,11,23,32.4,1677,2024-2025,20,it ITA,Genoa,it Serie A,25,MFFW,34693494
322,Abel Ruiz,9,19,32.1,1346,2024-2025,24,es ESP,Girona,es La Liga,23,FW,6cbf8d0d
323,Alexander Isak,26,55,32.1,2756,2024-2025,24,se SWE,Newcastle Utd,eng Premier League,34,FW,8e92be30
324,Paulo Dybala,8,17,32.0,1417,2024-2025,30,ar ARG,Roma,it Serie A,24,FWMF,e0921a4f
325,Alassane Pléa,15,32,31.9,1902,2024-2025,31,fr FRA,Gladbach,de Bundesliga,30,MFFW,bc6bd723
326,Jordan Ayew,38,81,31.9,1659,2024-2025,32,gh GHA,2 Teams,eng Premier League,31,FWMF,da052c14
327,Sebastiano Esposito,26,56,31.7,2331,2024-2025,22,it ITA,Empoli,it Serie A,33,FWMF,7ff93107
328,Bryan Mbeumo,34,74,31.5,3414,2024-2025,24,cm CMR,Brentford,eng Premier League,38,FW,6afaebf2
329,Giacomo Raspadori,5,11,31.3,1103,2024-2025,24,it ITA,Napoli,it Serie A,26,FWMF,6e058f06
330,Kamory Doumbia,10,22,31.3,1322,2024-2025,21,ml MLI,Brest,fr Ligue 1,30,MFFW,9226aa22
331,Giovani Lo Celso,5,11,31.3,1457,2024-2025,28,ar ARG,Betis,es La Liga,25,MFFW,d7553721
332,Antonio Sanabria,26,58,31.0,1318,2024-2025,28,py PAR,Torino,it Serie A,26,FW,0a447501
333,Isaac Palazón Camacho,18,40,31.0,2162,2024-2025,29,es ESP,Rayo Vallecano,es La Liga,35,MFFW,49dbab27
334,Matheus Cunha,13,29,31.0,2597,2024-2025,25,br BRA,Wolves,eng Premier League,33,MFFW,dc62b55d
335,Benedict Hollerbach,29,65,30.9,2540,2024-2025,23,de GER,Union Berlin,de Bundesliga,34,FWMF,2a158218
336,Mikkel Damsgaard,12,27,30.8,2911,2024-2025,24,dk DEN,Brentford,eng Premier League,38,MFFW,215f3907
337,Ritsu Doan,16,36,30.8,2862,2024-2025,26,jp JPN,Freiburg,de Bundesliga,34,FWMF,d01bbb6f
338,Nathan Tella,11,25,30.6,1359,2024-2025,25,ng NGA,Leverkusen,de Bundesliga,27,MFFW,f1e94cd6
339,Lorenzo Colombo,53,121,30.5,2233,2024-2025,22,it ITA,Empoli,it Serie A,37,FWMF,04df29a5
340,Mikel Oyarzabal,32,73,30.5,2250,2024-2025,27,es ESP,Real Sociedad,es La Liga,35,FW,8c3c640c
341,Gabriel Martinelli,17,39,30.4,2290,2024-2025,23,br BRA,Arsenal,eng Premier League,33,FWMF,48a5a5d6
342,Rodrygo,7,16,30.4,1928,2024-2025,23,br BRA,Real Madrid,es La Liga,30,FWMF,8f5e92a6
343,Eren Dinkçi,6,14,30.0,1196,2024-2025,22,de GER,Freiburg,de Bundesliga,23,MFFW,4ccd8957
344,Oumar Diakité,25,59,29.8,1628,2024-2025,20,ci CIV,Reims,fr Ligue 1,26,FW,44435c8f
345,Oladapo Afolayan,19,45,29.7,1639,2024-2025,26,eng ENG,St. Pauli,de Bundesliga,32,FWMF,5054c359
346,Lassine Sinayoko,27,64,29.7,2299,2024-2025,24,ml MLI,Auxerre,fr Ligue 1,34,FWMF,5e5249c8
347,Mohamed Amoura,19,45,29.7,2467,2024-2025,24,dz ALG,Wolfsburg,de Bundesliga,31,FW,6597f8b6
348,Sergio Camello,11,26,29.7,1134,2024-2025,23,es ESP,Rayo Vallecano,es La Liga,23,FW,873619c6
349,Enzo Millot,8,19,29.6,1843,2024-2025,22,fr FRA,Stuttgart,de Bundesliga,29,MFFW,f76022e7
350,Julián Álvarez,13,31,29.5,2509,2024-2025,24,ar ARG,Atlético Madrid,es La Liga,37,FW,15ab5a2b
351,Jim Allevinah,10,24,29.4,1750,2024-2025,29,ga GAB,Angers,fr Ligue 1,28,FW,1956b948
352,Gabriel Strefezza,10,24,29.4,2619,2024-2025,27,br BRA,Como,it Serie A,37,FWMF,ac4a4508
353,Borja Mayoral,17,41,29.3,1114,2024-2025,27,es ESP,Getafe,es La Liga,24,FW,64e8ed6d
354,Sorba Thomas,7,17,29.2,1321,2024-2025,24,wls WAL,Nantes,fr Ligue 1,25,FWMF,8725a42e
355,Shavy Babicka,7,17,29.2,1186,2024-2025,24,ga GAB,Toulouse,fr Ligue 1,30,MFFW,c6f0d5d4
356,Pablo Durán,13,32,28.9,1394,2024-2025,23,es ESP,Celta Vigo,es La Liga,27,FWMF,6db116ec
357,Ayoze Pérez,13,32,28.9,1970,2024-2025,31,es ESP,Villarreal,es La Liga,30,FW,819aa8e7
358,Anass Zaroury,2,5,28.6,1405,2024-2025,23,ma MAR,Lens,fr Ligue 1,28,FWMF,07d65234
359,Harvey Barnes,6,15,28.6,1755,2024-2025,26,eng ENG,Newcastle Utd,eng Premier League,33,FW,3ea50f67
360,Serge Gnabry,4,10,28.6,1242,2024-2025,29,de GER,Bayern Munich,de Bundesliga,27,FWMF,88e357ef
361,Marcus Rashford,6,15,28.6,1422,2024-2025,26,eng ENG,2 Teams,eng Premier League,25,FWMF,a1d5bd30
362,Amine Gouiri,10,25,28.6,2085,2024-2025,24,dz ALG,2 Teams,fr Ligue 1,33,FWMF,aad56ca3
363,Tyler Dibling,10,25,28.6,1874,2024-2025,18,eng ENG,Southampton,eng Premier League,33,FWMF,bdcc89ae
364,Adri Embarba,13,33,28.3,1607,2024-2025,32,es ESP,Rayo Vallecano,es La Liga,35,FWMF,db8f0eba
365,Josué Casimir,9,23,28.1,1997,2024-2025,22,fr FRA,Le Havre,fr Ligue 1,27,FWMF,481f76cf
366,Joshua Zirkzee,21,54,28.0,1402,2024-2025,23,nl NED,Manchester Utd,eng Premier League,32,FWMF,028e70b9
367,Jack Clarke,7,18,28.0,1181,2024-2025,23,eng ENG,Ipswich Town,eng Premier League,32,FWMF,e16932d8
368,Wahbi Khazri,8,21,27.6,1118,2024-2025,33,tn TUN,Montpellier,fr Ligue 1,30,FWMF,2677a1de
369,Jonathan David,16,42,27.6,2554,2024-2025,24,ca CAN,Lille,fr Ligue 1,32,FW,ce50fd99
370,Rémy Cabella,3,8,27.3,1011,2024-2025,34,fr FRA,Lille,fr Ligue 1,23,FWMF,148e136f
371,Sofiane Diop,3,8,27.3,1064,2024-2025,24,fr FRA,Nice,fr Ligue 1,28,MFFW,19053e31
372,Boulaye Dia,21,56,27.3,2177,2024-2025,27,sn SEN,Lazio,it Serie A,35,MFFW,244bc2c8
373,Georges Mikautadze,15,40,27.3,1449,2024-2025,23,ge GEO,Lyon,fr Ligue 1,34,FW,4788cb6b
374,Jesus Rodríguez,3,8,27.3,1111,2024-2025,18,es ESP,Betis,es La Liga,21,FW,f9f74e43
375,Arnaud Kalimuendo,22,59,27.2,2578,2024-2025,22,fr FRA,Rennes,fr Ligue 1,33,FWMF,bf4c41f9
376,Yassine Kechta,10,27,27.0,2096,2024-2025,22,ma MAR,Le Havre,fr Ligue 1,31,MFFW,abefc3af
377,Gaetano Oristanio,14,38,26.9,2315,2024-2025,21,it ITA,Venezia,it Serie A,37,FWMF,5cfc74fc
378,Pedro Neto,11,30,26.8,2269,2024-2025,24,pt POR,Chelsea,eng Premier League,35,FW,7ba2eaa9
379,Antony,5,14,26.3,1362,2024-2025,24,br BRA,Betis,es La Liga,17,FW,99127249
380,Joe Willock,5,14,26.3,1086,2024-2025,24,eng ENG,Newcastle Utd,eng Premier League,32,MFFW,a3b03921
381,Zito Luvumbo,6,17,26.1,1606,2024-2025,22,ao ANG,Cagliari,it Serie A,26,FWMF,b09e0873
382,Brennan Johnson,7,20,25.9,2177,2024-2025,23,wls WAL,Tottenham,eng Premier League,33,FW,0cd31129
383,Andrej Kramarić,8,23,25.8,2767,2024-2025,33,hr CRO,Hoffenheim,de Bundesliga,32,MFFW,603cb947
384,Patrick Cutrone,23,66,25.8,2047,2024-2025,26,it ITA,Como,it Serie A,33,FW,a4fe8cda
385,Luis Díaz,13,38,25.5,2399,2024-2025,27,co COL,Liverpool,eng Premier League,36,FW,4a1a9578
386,Lamine Yamal,1,3,25.0,2856,2024-2025,17,es ESP,Barcelona,es La Liga,35,FW,82ec26c1
387,Antoniu,6,18,25.0,1022,2024-2025,21,es ESP,Espanyol,es La Liga,26,FWMF,af784a9e
388,Albert Guðmundsson,4,12,25.0,1273,2024-2025,27,is ISL,Fiorentina,it Serie A,24,FWMF,b79858d5
389,Domingos André Ribeiro Almeida,5,15,25.0,1977,2024-2025,24,pt POR,Valencia,es La Liga,34,MFFW,e6697917
390,Dani Raba,5,15,25.0,1879,2024-2025,28,es ESP,Leganés,es La Liga,29,FWMF,ea6a7ab4
391,Phil Foden,3,9,25.0,1777,2024-2025,24,eng ENG,Manchester City,eng Premier League,28,MFFW,ed1e53f3
392,Rasmus Højlund,31,94,24.8,2004,2024-2025,21,dk DEN,Manchester Utd,eng Premier League,32,FW,491a433d
393,Johannes Eggestein,28,85,24.8,1853,2024-2025,26,de GER,St. Pauli,de Bundesliga,27,FW,d571df78
394,Ange-Yoan Bonny,23,70,24.7,2529,2024-2025,20,fr FRA,Parma,it Serie A,37,FW,64629ba4
395,Casper Tengstedt,20,61,24.7,1517,2024-2025,24,dk DEN,Hellas Verona,it Serie A,25,FW,ff2fb007
396,Steven Skrzybski,6,19,24.0,1323,2024-2025,31,de GER,Holstein Kiel,de Bundesliga,24,MFFW,58ce23e5
397,Iliman Ndiaye,6,19,24.0,2430,2024-2025,24,sn SEN,Everton,eng Premier League,33,FW,5ed97752
398,Ridle Baku,5,16,23.8,1170,2024-2025,26,de GER,Wolfsburg,de Bundesliga,15,FWMF,442b56fa
399,Danel Sinani,10,32,23.8,1250,2024-2025,27,lu LUX,St. Pauli,de Bundesliga,26,FWMF,96ddfa79
400,Jacob Murphy,5,16,23.8,2360,2024-2025,29,eng ENG,Newcastle Utd,eng Premier League,35,FW,de112b84
401,Kevin De Bruyne,5,16,23.8,1702,2024-2025,33,be BEL,Manchester City,eng Premier League,28,MFFW,e46012d4
402,Peque,8,26,23.5,1134,2024-2025,21,es ESP,Sevilla,es La Liga,26,MFFW,cb971b4f
403,Kenan Yıldız,8,26,23.5,2402,2024-2025,19,tr TUR,Juventus,it Serie A,35,FWMF,d8cda243
404,Miguel,29,96,23.2,1724,2024-2025,24,es ESP,Leganés,es La Liga,34,FW,6763373d
405,Cameron Archer,9,30,23.1,1441,2024-2025,23,eng ENG,Southampton,eng Premier League,35,FW,05e8ca6d
406,Callum Hudson-Odoi,3,10,23.1,2194,2024-2025,23,eng ENG,Nott'ham Forest,eng Premier League,31,FWMF,15f3ec41
407,Javi Puado,9,30,23.1,2974,2024-2025,26,es ESP,Espanyol,es La Liga,35,FWMF,2683eda7
408,David Neres,3,10,23.1,1283,2024-2025,27,br BRA,Napoli,it Serie A,28,FW,4f1e6a0b
409,Matteo Politano,6,20,23.1,2804,2024-2025,30,it ITA,Napoli,it Serie A,37,FWMF,5e861944
410,Mario Götze,3,10,23.1,1542,2024-2025,32,de GER,Eint Frankfurt,de Bundesliga,24,MFFW,9efa1d25
411,Mitchel Bakker,3,10,23.1,1139,2024-2025,24,nl NED,Lille,fr Ligue 1,24,FWDF,a8567629
412,Tiago Tomás,9,30,23.1,1884,2024-2025,22,pt POR,Wolfsburg,de Bundesliga,32,FWMF,b492126a
413,Zuriko Davitashvili,14,47,23.0,2778,2024-2025,23,ge GEO,Saint-Étienne,fr Ligue 1,33,FWMF,88b4d2e3
414,Ludovic Blas,11,37,22.9,2293,2024-2025,26,fr FRA,Rennes,fr Ligue 1,29,MFFW,6191093d
415,Jofre,5,17,22.7,2165,2024-2025,23,es ESP,Espanyol,es La Liga,37,MFFW,030ef8d6
416,Gianluca Caprari,4,14,22.2,1651,2024-2025,31,it ITA,Monza,it Serie A,34,MFFW,54e53b7e
417,Farid El Melali,6,21,22.2,1893,2024-2025,27,dz ALG,Angers,fr Ligue 1,32,FW,d21e361a
418,Cole Palmer,2,7,22.2,3191,2024-2025,22,eng ENG,Chelsea,eng Premier League,37,MFFW,dc7f8a28
419,Mohammed Kudus,11,40,21.6,2590,2024-2025,23,gh GHA,West Ham,eng Premier League,32,FWMF,b62878a5
420,Sebastian Nanasi,3,11,21.4,2107,2024-2025,22,se SWE,Strasbourg,fr Ligue 1,31,MFFW,ce747d2a
421,Christian Pulisic,11,42,20.8,2478,2024-2025,25,us USA,Milan,it Serie A,34,FWMF,1bf33a9a
422,Moses Simon,10,38,20.8,2609,2024-2025,29,ng NGA,Nantes,fr Ligue 1,32,FWMF,5f3eaaf5
423,Marco Grüll,5,19,20.8,1181,2024-2025,26,at AUT,Werder Bremen,de Bundesliga,30,FWMF,8babb812
424,Diego López,14,55,20.3,2737,2024-2025,22,es ESP,Valencia,es La Liga,38,MFFW,c487901c
425,Morgan Rogers,13,52,20.0,3114,2024-2025,22,eng ENG,Aston Villa,eng Premier League,37,FWMF,2e5915f1
426,Leandro Trossard,6,24,20.0,2546,2024-2025,29,be BEL,Arsenal,eng Premier League,38,FW,38ceb24a
427,Tim Skarke,10,40,20.0,1164,2024-2025,27,de GER,Union Berlin,de Bundesliga,33,FWMF,65857fdf
428,Jarrod Bowen,12,48,20.0,2973,2024-2025,27,eng ENG,West Ham,eng Premier League,34,FWMF,79c84d1c
429,Harry Wilson,5,20,20.0,1162,2024-2025,27,wls WAL,Fulham,eng Premier League,25,FWMF,c6dc9ecd
430,Florian Wirtz,9,36,20.0,2351,2024-2025,21,de GER,Leverkusen,de Bundesliga,31,MFFW,e7fcf289
431,Jonathan Burkardt,20,85,19.0,2109,2024-2025,24,de GER,Mainz 05,de Bundesliga,29,FW,05f99a4a
432,Gaëtan Perrin,3,13,18.8,2691,2024-2025,28,fr FRA,Auxerre,fr Ligue 1,34,MFFW,10dd88f9
433,Manuel Fuster,3,13,18.8,1003,2024-2025,26,es ESP,Las Palmas,es La Liga,28,FWMF,618f396a
434,Léo Scienza,3,13,18.8,1153,2024-2025,25,br BRA,Heidenheim,de Bundesliga,25,FWMF,79064bc9
435,Omari Hutchinson,6,26,18.8,2583,2024-2025,20,eng ENG,Ipswich Town,eng Premier League,31,MFFW,bd9553e6
436,Alberto Moleiro,5,22,18.5,2714,2024-2025,20,es ESP,Las Palmas,es La Liga,35,FWMF,c2c8897d
437,Alex Iwobi,7,31,18.4,2981,2024-2025,28,ng NGA,Fulham,eng Premier League,38,FWMF,6ca5ec4b
438,Francisco Conceição,2,9,18.2,1340,2024-2025,21,pt POR,Juventus,it Serie A,26,FWMF,5ef3d210
439,Maghnes Akliouche,5,23,17.9,2406,2024-2025,22,fr FRA,Monaco,fr Ligue 1,32,FWMF,b625b241
440,Alfon,3,14,17.6,1371,2024-2025,25,es ESP,Celta Vigo,es La Liga,26,FWMF,1c772b46
441,Brahim Díaz,3,14,17.6,1385,2024-2025,24,ma MAR,Real Madrid,es La Liga,31,FWMF,407feb71
442,Tomáš Suslov,5,25,16.7,2080,2024-2025,22,sk SVK,Hellas Verona,it Serie A,31,MFFW,83fe71b8
443,Bryan Zaragoza,2,10,16.7,1836,2024-2025,23,es ESP,Osasuna,es La Liga,27,FWMF,a96103b2
444,Takuma Asano,5,26,16.1,1054,2024-2025,29,jp JPN,Mallorca,es La Liga,21,FWMF,13ddc856
445,Eberechi Eze,7,37,15.9,2588,2024-2025,26,eng ENG,Crystal Palace,eng Premier League,34,MFFW,ae4fc6a4
