,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Sh,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Sh,G/Sh▼,G/SoT,SoT,SoT%,Dist,FK,Pos,-9999
83,Thierno Barry,71,2333,2024-2025,21,fr FRA,Villarreal,es La Liga,35,2333,25.9,25,10,0,11,4,15,10,1,1,0,71,0.14,0.42,24,33.8,12.0,0,FW,52c3244b
84,Harvey Barnes,63,1766,2024-2025,26,eng ENG,Newcastle Utd,eng Premier League,33,1766,19.6,17,16,1,9,4,13,9,0,0,0,63,0.14,0.45,20,31.7,15.1,0,FW,3ea50f67
85,Che Adams,63,2662,2024-2025,28,sct SCO,Torino,it Serie A,36,2662,29.6,30,6,1,9,3,12,9,0,1,1,63,0.14,0.36,25,39.7,15.7,0,FW,f2bf1b0f
86,Adam Hložek,59,1879,2024-2025,22,cz CZE,Hoffenheim,de Bundesliga,27,1879,20.9,22,5,0,8,4,12,8,0,0,0,59,0.14,0.33,24,40.7,17.3,1,FWMF,5521f419
87,Dominic Solanke,59,2208,2024-2025,26,eng ENG,Tottenham,eng Premier League,27,2208,24.5,25,2,1,9,3,12,8,1,1,0,59,0.14,0.33,24,40.7,12.4,0,FW,e77dc3b2
88,Jamie Vardy,56,2837,2024-2025,37,eng ENG,Leicester City,eng Premier League,35,2837,31.5,35,0,0,9,4,13,8,1,2,1,56,0.14,0.35,23,41.1,12.1,1,FW,45963054
89,Florian Thauvin,51,1973,2024-2025,31,fr FRA,Udinese,it Serie A,25,1973,21.9,24,1,0,8,3,11,7,1,3,2,51,0.14,0.30,23,45.1,18.5,3,FWMF,2b9fdeea
90,Anthony Elanga,44,2516,2024-2025,22,se SWE,Nott'ham Forest,eng Premier League,38,2516,28.0,31,7,0,6,11,17,6,0,0,0,44,0.14,0.25,24,54.5,17.6,6,FWMF,2fba6108
91,Mason Greenwood,111,2820,2024-2025,22,eng ENG,Marseille,fr Ligue 1,34,2820,31.3,32,2,0,21,5,26,14,7,9,2,111,0.13,0.31,45,40.5,19.8,3,FWMF,58eee997
92,Keito Nakamura,84,2663,2024-2025,24,jp JPN,Reims,fr Ligue 1,32,2663,29.6,31,1,0,11,2,13,11,0,0,0,84,0.13,0.34,32,38.1,16.8,1,FWMF,d97af612
93,Andrea Pinamonti,78,2863,2024-2025,25,it ITA,Genoa,it Serie A,36,2863,31.8,33,3,1,10,1,11,10,0,1,1,78,0.13,0.34,29,37.2,16.1,2,FW,08aa9cd1
94,Nicolas Jackson,76,2242,2024-2025,23,sn SEN,Chelsea,eng Premier League,30,2242,24.9,28,2,1,10,5,15,10,0,0,0,76,0.13,0.29,34,44.7,12.9,0,FW,9c36ed83
95,Alex Iwobi,68,3001,2024-2025,28,ng NGA,Fulham,eng Premier League,38,3001,33.3,35,3,0,9,6,15,9,0,0,0,68,0.13,0.31,29,42.6,18.3,0,FWMF,6ca5ec4b
96,Vincenzo Grifo,63,2457,2024-2025,31,it ITA,Freiburg,de Bundesliga,34,2457,27.3,31,3,0,8,11,19,8,0,3,3,63,0.13,0.31,26,41.3,20.8,10,FWMF,54e4866f
97,Santiago Castro,62,2310,2024-2025,19,ar ARG,Bologna,it Serie A,36,2310,25.7,27,9,1,8,4,12,8,0,1,1,62,0.13,0.40,20,32.3,15.8,0,FW,ee5565ae
98,Phil Foden,54,1787,2024-2025,24,eng ENG,Manchester City,eng Premier League,28,1787,19.9,20,8,5,7,2,9,7,0,0,0,54,0.13,0.44,16,29.6,18.6,2,MFFW,ed1e53f3
99,M'Bala Nzola,47,1468,2024-2025,27,ao ANG,Lens,fr Ligue 1,21,1468,16.3,16,5,1,6,1,7,6,0,0,0,47,0.13,0.33,18,38.3,12.1,0,FW,a4948e67
100,Mattia Zaccagni,46,2708,2024-2025,29,it ITA,Lazio,it Serie A,34,2708,30.1,33,1,0,8,6,14,6,2,2,0,46,0.13,0.43,14,30.4,17.3,2,FW,d85c238b
101,Hugo Ekitike,114,2585,2024-2025,22,fr FRA,Eint Frankfurt,de Bundesliga,33,2585,28.7,31,2,0,15,8,23,14,1,3,2,114,0.12,0.32,44,38.6,15.3,1,FW,5b92d896
102,Lautaro Martínez,102,2580,2024-2025,26,ar ARG,Inter,it Serie A,31,2580,28.7,31,0,1,12,3,15,12,0,0,0,102,0.12,0.35,34,33.3,13.8,0,FW,f7036e1c
103,Vinicius Júnior,78,2264,2024-2025,24,br BRA,Real Madrid,es La Liga,30,2264,25.2,24,6,0,11,8,19,9,2,3,1,78,0.12,0.38,24,30.8,17.5,0,FW,7111d552
104,Loïs Openda,77,2467,2024-2025,24,be BEL,RB Leipzig,de Bundesliga,33,2467,27.4,28,5,0,9,5,14,9,0,1,1,77,0.12,0.29,31,40.3,16.8,2,FWMF,8652a85c
105,Benedict Hollerbach,76,2559,2024-2025,23,de GER,Union Berlin,de Bundesliga,34,2559,28.4,30,4,0,9,1,10,9,0,0,0,76,0.12,0.38,24,31.6,16.1,0,FWMF,2a158218
106,Deniz Undav,75,1735,2024-2025,28,de GER,Stuttgart,de Bundesliga,27,1735,19.3,20,7,0,9,3,12,9,0,0,0,75,0.12,0.29,31,41.3,13.9,0,FWMF,dd549382
107,Rafael Leão,66,2335,2024-2025,25,pt POR,Milan,it Serie A,34,2335,25.9,25,9,2,8,8,16,8,0,0,0,66,0.12,0.28,29,43.9,16.6,0,FW,20730eae
108,Andrej Kramarić,66,2781,2024-2025,33,hr CRO,Hoffenheim,de Bundesliga,32,2781,30.9,32,0,0,11,8,19,8,3,3,0,66,0.12,0.35,23,34.8,15.8,2,MFFW,603cb947
109,Gorka Guruzeta,59,1856,2024-2025,27,es ESP,Athletic Club,es La Liga,36,1856,20.6,21,15,1,7,2,9,7,0,0,0,59,0.12,0.37,19,32.2,13.6,0,FW,6b5ea2f4
110,Sebastiano Esposito,59,2350,2024-2025,22,it ITA,Empoli,it Serie A,33,2350,26.1,27,6,1,8,0,8,7,1,2,1,59,0.12,0.37,19,32.2,19.8,10,FWMF,7ff93107
111,Jorge de Frutos,52,2518,2024-2025,27,es ESP,Rayo Vallecano,es La Liga,36,2518,28.0,30,6,0,6,3,9,6,0,0,0,52,0.12,0.33,18,34.6,15.9,0,FWMF,38ce1150
112,Breel Embolo,51,1852,2024-2025,27,ch SUI,Monaco,fr Ligue 1,29,1852,20.6,19,10,5,6,4,10,6,0,0,0,51,0.12,0.33,18,35.3,10.8,0,FWMF,0b4f388a
113,Diogo Jota,51,1208,2024-2025,27,pt POR,Liverpool,eng Premier League,26,1208,13.4,14,12,3,6,3,9,6,0,0,0,51,0.12,0.46,13,25.5,12.4,0,FW,178ae8f8
114,Phillip Tietz,51,1700,2024-2025,27,de GER,Augsburg,de Bundesliga,34,1700,18.9,19,15,0,7,2,9,6,1,1,0,51,0.12,0.32,19,37.3,16.3,3,FW,3397e7b5
115,Álex Berenguer,51,2361,2024-2025,29,es ESP,Athletic Club,es La Liga,36,2361,26.2,28,8,1,6,7,13,6,0,1,1,51,0.12,0.33,18,35.3,18.4,3,FWMF,dc1c2fce
116,Joshua King,50,1688,2024-2025,32,no NOR,Toulouse,fr Ligue 1,28,1688,18.8,21,7,0,6,3,9,6,0,0,0,50,0.12,0.30,20,40.0,15.3,0,FWMF,43458538
117,Dan Ndoye,50,2155,2024-2025,23,ch SUI,Bologna,it Serie A,30,2155,23.9,26,4,1,8,4,12,6,2,2,0,50,0.12,0.35,17,34.0,17.5,0,FW,8e697a8f
118,Jens Odgaard,49,1972,2024-2025,25,dk DEN,Bologna,it Serie A,29,1972,21.9,24,5,3,6,1,7,6,0,0,0,49,0.12,0.27,22,44.9,19.5,1,MFFW,75374ee7
119,Daniel Maldini,49,1577,2024-2025,22,it ITA,2 Teams,it Serie A,30,1577,17.5,18,12,2,6,0,6,6,0,0,0,49,0.12,0.33,18,36.7,18.8,5,MFFW,801831fe
120,Dodi Lukebakio,93,3103,2024-2025,26,be BEL,Sevilla,es La Liga,38,3103,34.5,36,2,0,11,2,13,10,1,1,0,93,0.11,0.26,38,40.9,19.2,2,FW,0c61c77c
121,Florian Wirtz,74,2359,2024-2025,21,de GER,Leverkusen,de Bundesliga,31,2359,26.2,25,6,0,10,12,22,8,2,4,2,74,0.11,0.23,35,47.3,19.7,1,MFFW,e7fcf289
122,Matthis Abline,73,2789,2024-2025,21,fr FRA,Nantes,fr Ligue 1,34,2789,31.0,33,1,0,9,2,11,8,1,1,0,73,0.11,0.31,26,35.6,15.0,0,FW,0e46fa2f
123,Mohamed Amoura,73,2487,2024-2025,24,dz ALG,Wolfsburg,de Bundesliga,31,2487,27.6,29,2,0,10,9,19,8,2,2,0,73,0.11,0.32,25,34.2,16.8,0,FW,6597f8b6
124,Leandro Trossard,72,2559,2024-2025,29,be BEL,Arsenal,eng Premier League,38,2559,28.4,28,10,0,8,7,15,8,0,0,0,72,0.11,0.38,21,29.2,15.9,0,FW,38ceb24a
125,Javi Puado,66,2989,2024-2025,26,es ESP,Espanyol,es La Liga,35,2989,33.2,35,0,0,12,4,16,7,5,5,0,66,0.11,0.37,19,28.8,20.7,0,FWMF,2683eda7
126,Dango Ouattara,62,2019,2024-2025,22,bf BFA,Bournemouth,eng Premier League,32,2019,22.4,21,11,0,7,4,11,7,0,0,0,62,0.11,0.35,20,32.3,13.5,1,FW,2f9e4435
127,Kenan Yıldız,61,2414,2024-2025,19,tr TUR,Juventus,it Serie A,35,2414,26.8,28,7,1,7,4,11,7,0,0,0,61,0.11,0.32,22,36.1,17.5,0,FWMF,d8cda243
128,Ludovic Blas,57,2304,2024-2025,26,fr FRA,Rennes,fr Ligue 1,29,2304,25.6,26,3,0,6,8,14,6,0,0,0,57,0.11,0.23,26,45.6,17.7,2,MFFW,6191093d
129,Takumi Minamino,57,2248,2024-2025,29,jp JPN,Monaco,fr Ligue 1,31,2248,25.0,27,4,0,6,3,9,6,0,0,0,57,0.11,0.30,20,35.1,14.7,0,MFFW,f833a830
130,Son Heung-min,55,2122,2024-2025,32,kr KOR,Tottenham,eng Premier League,30,2122,23.6,24,6,0,7,9,16,6,1,2,1,55,0.11,0.25,24,43.6,17.0,1,FW,92e7e919
131,Désiré Doué,55,1743,2024-2025,19,fr FRA,Paris S-G,fr Ligue 1,31,1743,19.4,18,13,1,6,6,12,6,0,0,0,55,0.11,0.30,20,36.4,17.9,0,FWMF,9e7483ff
132,Rodrygo,54,1945,2024-2025,23,br BRA,Real Madrid,es La Liga,30,1945,21.6,22,8,1,6,5,11,6,0,0,0,54,0.11,0.30,20,37.0,16.4,3,FWMF,8f5e92a6
133,Alfon,46,1381,2024-2025,25,es ESP,Celta Vigo,es La Liga,26,1381,15.3,14,12,9,5,2,7,5,0,0,0,46,0.11,0.26,19,41.3,17.3,0,FWMF,1c772b46
134,Iago Aspas,46,1754,2024-2025,36,es ESP,Celta Vigo,es La Liga,30,1754,19.5,19,11,3,10,5,15,5,5,6,1,46,0.11,0.28,18,39.1,21.3,3,FWMF,7dcf86f6
135,Kingsley Coman,44,1293,2024-2025,28,fr FRA,Bayern Munich,de Bundesliga,28,1293,14.4,14,14,0,5,4,9,5,0,0,0,44,0.11,0.29,17,38.6,16.7,0,FW,042e8a49
136,Frank Magri,44,1526,2024-2025,24,cm CMR,Toulouse,fr Ligue 1,31,1526,17.0,17,14,0,5,1,6,5,0,0,0,44,0.11,0.28,18,40.9,12.4,0,FWMF,42fdb11d
137,Raúl Jiménez,93,2515,2024-2025,33,mx MEX,Fulham,eng Premier League,38,2515,27.9,30,8,0,12,3,15,9,3,3,0,93,0.10,0.30,30,32.3,14.5,1,FW,b561db50
138,Khvicha Kvaratskhelia,83,2112,2024-2025,23,ge GEO,2 Teams,2 Comps,31,2112,23.5,26,5,2,9,6,15,8,1,1,0,83,0.10,0.26,31,37.3,19.2,5,FWMF,dea88efd
139,Marvin Ducksch,70,2437,2024-2025,30,de GER,Werder Bremen,de Bundesliga,32,2437,27.1,30,2,0,8,8,16,7,1,2,1,70,0.10,0.26,27,38.6,17.3,8,FW,638a4d71
140,Gaëtan Laborde,70,1846,2024-2025,30,fr FRA,Nice,fr Ligue 1,28,1846,20.5,20,8,0,11,4,15,7,4,4,0,70,0.10,0.35,20,28.6,14.6,0,FW,7cdda3bf
141,Alex Baena,69,2609,2024-2025,23,es ESP,Villarreal,es La Liga,32,2609,29.0,30,2,0,7,9,16,7,0,1,1,69,0.10,0.41,17,24.6,21.0,8,MFFW,518f2234
142,Patrick Cutrone,69,2065,2024-2025,26,it ITA,Como,it Serie A,33,2065,22.9,23,10,5,7,4,11,7,0,1,1,69,0.10,0.27,26,37.7,15.9,0,FW,a4fe8cda
143,Zuriko Davitashvili,68,2790,2024-2025,23,ge GEO,Saint-Étienne,fr Ligue 1,33,2790,31.0,32,1,0,9,8,17,7,2,2,0,68,0.10,0.29,24,35.3,19.4,5,FWMF,88b4d2e3
144,Iñaki Williams,63,2660,2024-2025,30,gh GHA,Athletic Club,es La Liga,35,2660,29.6,29,6,0,6,8,14,6,0,0,0,63,0.10,0.25,24,38.1,16.4,0,FW,6a99e0b1
145,Zakaria Aboukhlal,62,1914,2024-2025,24,ma MAR,Toulouse,fr Ligue 1,26,1914,21.3,22,4,0,7,2,9,6,1,2,1,62,0.10,0.23,26,41.9,14.6,0,MFFW,c2a6033c
146,Gabriel Strefezza,58,2640,2024-2025,27,br BRA,Como,it Serie A,37,2640,29.3,32,5,0,6,4,10,6,0,0,0,58,0.10,0.29,21,36.2,20.5,2,FWMF,ac4a4508
147,Vedat Muriqi,52,2070,2024-2025,30,xk KVX,Mallorca,es La Liga,29,2070,23.0,24,5,0,7,2,9,5,2,3,1,52,0.10,0.31,16,30.8,12.3,0,FW,0cadc46d
148,Tom Bischof,51,2570,2024-2025,19,de GER,Hoffenheim,de Bundesliga,31,2570,28.6,30,1,0,5,2,7,5,0,0,0,51,0.10,0.28,18,35.3,23.1,5,MFFW,07d3bfec
149,Yann Gboho,50,2346,2024-2025,23,fr FRA,Toulouse,fr Ligue 1,31,2346,26.1,27,4,0,5,4,9,5,0,0,0,50,0.10,0.19,26,52.0,15.8,0,MFFW,6be41a31
150,Georginio Rutter,50,1672,2024-2025,22,fr FRA,Brighton,eng Premier League,28,1672,18.6,19,9,0,5,3,8,5,0,0,0,50,0.10,0.42,12,24.0,15.5,0,MFFW,c64c01fc
151,Mahdi Camara,49,2673,2024-2025,26,fr FRA,Brest,fr Ligue 1,34,2673,29.7,31,3,0,5,3,8,5,0,0,0,49,0.10,0.26,19,38.8,16.6,0,MFFW,8577e60a
152,Antoine Semenyo,125,3211,2024-2025,24,gh GHA,Bournemouth,eng Premier League,37,3211,35.7,36,1,0,11,5,16,11,0,0,0,125,0.09,0.28,40,32.0,17.0,0,FW,efd2ec23
153,Cole Palmer,121,3201,2024-2025,22,eng ENG,Chelsea,eng Premier League,37,3201,35.6,36,1,0,15,8,23,11,4,5,1,121,0.09,0.25,44,36.4,20.4,12,MFFW,dc7f8a28
154,Roberto Piccoli,97,3145,2024-2025,23,it ITA,Cagliari,it Serie A,37,3145,34.9,37,0,0,10,1,11,9,1,1,0,97,0.09,0.32,28,28.9,13.1,1,FW,1cadaf34
155,Noni Madueke,80,2052,2024-2025,22,eng ENG,Chelsea,eng Premier League,32,2052,22.8,27,5,1,7,3,10,7,0,0,0,80,0.09,0.23,30,37.5,14.4,0,FW,bf34eebd
156,Alberto Moleiro,68,2729,2024-2025,20,es ESP,Las Palmas,es La Liga,35,2729,30.3,32,3,1,6,1,7,6,0,0,0,68,0.09,0.25,24,35.3,19.0,0,FWMF,c2c8897d
157,Daniel Mosquera,57,1385,2024-2025,24,co COL,Hellas Verona,it Serie A,35,1385,15.4,12,23,2,5,1,6,5,0,0,0,57,0.09,0.33,15,26.3,13.5,0,FW,091b9eb8
158,Anthony Gordon,57,2452,2024-2025,23,eng ENG,Newcastle Utd,eng Premier League,34,2452,27.2,28,6,0,6,5,11,5,1,2,1,57,0.09,0.31,16,28.1,17.0,1,FWMF,2bd83368
159,Lorenzo Colombo,55,2248,2024-2025,22,it ITA,Empoli,it Serie A,37,2248,25.0,26,11,0,6,2,8,5,1,1,0,55,0.09,0.28,18,32.7,18.1,0,FWMF,04df29a5
160,Nico Williams,54,2005,2024-2025,22,es ESP,Athletic Club,es La Liga,29,2005,22.3,22,7,0,5,5,10,5,0,0,0,54,0.09,0.26,19,35.2,17.6,1,FW,afdc14d7
161,Raúl Moro,46,2350,2024-2025,21,es ESP,Valladolid,es La Liga,33,2350,26.1,26,7,0,4,5,9,4,0,0,0,46,0.09,0.25,16,34.8,17.8,0,MFFW,919dd4b1
162,Toni Martínez,46,1019,2024-2025,27,es ESP,Alavés,es La Liga,28,1019,11.3,9,19,8,4,0,4,4,0,0,0,46,0.09,0.27,15,32.6,17.1,0,FW,f3945e07
163,Joelinton,45,2403,2024-2025,27,br BRA,Newcastle Utd,eng Premier League,29,2403,26.7,29,0,0,4,3,7,4,0,0,0,45,0.09,0.31,13,28.9,14.0,0,MFFW,c17bfb65
164,Valentín Castellanos,105,2395,2024-2025,25,ar ARG,Lazio,it Serie A,29,2395,26.6,28,1,2,10,3,13,8,2,3,1,105,0.08,0.22,36,34.3,16.8,3,FW,da76bab4
165,Dušan Vlahović,73,1792,2024-2025,24,rs SRB,Juventus,it Serie A,29,1792,19.9,21,8,3,10,4,14,6,4,4,0,73,0.08,0.24,25,34.2,15.9,7,FW,79443529
166,Bukayo Saka,66,1741,2024-2025,22,eng ENG,Arsenal,eng Premier League,25,1741,19.3,20,5,0,6,10,16,5,1,1,0,66,0.08,0.23,22,33.3,15.6,1,FWMF,bc7dc64d
167,Isaac Romero,53,2174,2024-2025,24,es ESP,Sevilla,es La Liga,31,2174,24.2,26,5,1,4,2,6,4,0,1,1,53,0.08,0.24,17,32.1,16.9,0,FW,be719093
168,Christantus Uche,50,2502,2024-2025,21,ng NGA,Getafe,es La Liga,33,2502,27.8,30,3,0,4,6,10,4,0,0,0,50,0.08,0.29,14,28.0,17.1,0,FWMF,87941696
169,Dennis Man,49,2007,2024-2025,25,ro ROU,Parma,it Serie A,33,2007,22.3,23,10,2,4,4,8,4,0,0,0,49,0.08,0.20,20,40.8,17.1,0,FWMF,2079b3cc
170,Nikola Krstović,134,3070,2024-2025,24,me MNE,Lecce,it Serie A,37,3070,34.1,37,0,0,11,5,16,9,2,3,1,134,0.07,0.24,38,28.4,18.8,6,FW,473803c9
171,Eberechi Eze,100,2605,2024-2025,26,eng ENG,Crystal Palace,eng Premier League,34,2605,28.9,31,3,0,8,8,16,7,1,2,1,100,0.07,0.26,27,27.0,21.6,16,MFFW,ae4fc6a4
172,Alejandro Garnacho,84,2208,2024-2025,20,ar ARG,Manchester Utd,eng Premier League,36,2208,24.5,23,13,0,6,2,8,6,0,0,0,84,0.07,0.21,29,34.5,17.0,0,MFFW,7aa8adfe
173,Mohammed Kudus,75,2605,2024-2025,23,gh GHA,West Ham,eng Premier League,32,2605,28.9,31,1,0,5,3,8,5,0,0,0,75,0.07,0.24,21,28.0,16.0,0,FWMF,b62878a5
174,Isaac Palazón Camacho,61,2176,2024-2025,29,es ESP,Rayo Vallecano,es La Liga,35,2176,24.2,25,10,0,4,4,8,4,0,0,0,61,0.07,0.22,18,29.5,22.3,1,MFFW,49dbab27
175,Ange-Yoan Bonny,61,2551,2024-2025,20,fr FRA,Parma,it Serie A,37,2551,28.3,30,7,0,6,4,10,4,2,3,1,61,0.07,0.21,19,31.1,16.7,0,FW,64629ba4
176,Maghnes Akliouche,61,2413,2024-2025,22,fr FRA,Monaco,fr Ligue 1,32,2413,26.8,27,5,0,5,10,15,4,1,1,0,61,0.07,0.24,17,27.9,16.0,2,FWMF,b625b241
177,Lassine Sinayoko,60,2315,2024-2025,24,ml MLI,Auxerre,fr Ligue 1,34,2315,25.7,25,9,0,5,8,13,4,1,1,0,60,0.07,0.25,16,26.7,16.1,0,FWMF,5e5249c8
178,Robin Hack,59,2195,2024-2025,25,de GER,Gladbach,de Bundesliga,33,2195,24.4,27,6,1,4,7,11,4,0,0,0,59,0.07,0.17,24,40.7,19.9,0,FWMF,0174ba21
179,Pedro Neto,59,2277,2024-2025,24,pt POR,Chelsea,eng Premier League,35,2277,25.3,24,11,1,4,6,10,4,0,0,0,59,0.07,0.24,17,28.8,18.2,0,FW,7ba2eaa9
180,Eliesse Ben Seghir,58,1761,2024-2025,19,ma MAR,Monaco,fr Ligue 1,33,1761,19.6,19,14,1,6,3,9,4,2,2,0,58,0.07,0.21,19,32.8,20.9,3,MFFW,3bd65247
181,Marvin Pieringer,57,2225,2024-2025,24,de GER,Heidenheim,de Bundesliga,31,2225,24.7,26,5,0,7,4,11,4,3,3,0,57,0.07,0.24,17,29.8,15.1,1,FWMF,11407d95
182,Kevin De Bruyne,57,1714,2024-2025,33,be BEL,Manchester City,eng Premier League,28,1714,19.0,19,9,5,4,7,11,4,0,0,0,57,0.07,0.27,15,26.3,21.4,8,MFFW,e46012d4
183,Federico Dimarco,56,2200,2024-2025,26,it ITA,Inter,it Serie A,33,2200,24.4,29,4,2,4,7,11,4,0,0,0,56,0.07,0.19,21,37.5,20.1,8,DFFW,970b8574
184,Gustav Isaksen,54,2233,2024-2025,23,dk DEN,Lazio,it Serie A,37,2233,24.8,29,8,0,4,2,6,4,0,0,0,54,0.07,0.17,24,44.4,18.9,0,FW,5715bb71
185,Nicolás González,45,1767,2024-2025,26,ar ARG,Juventus,it Serie A,26,1767,19.6,23,3,1,3,2,5,3,0,0,0,45,0.07,0.14,21,46.7,15.7,0,FWMF,2374aaca
186,Omari Hutchinson,45,2594,2024-2025,20,eng ENG,Ipswich Town,eng Premier League,31,2594,28.8,30,1,1,3,2,5,3,0,0,0,45,0.07,0.17,18,40.0,19.6,4,MFFW,bd9553e6
187,Gaetano Oristanio,44,2339,2024-2025,21,it ITA,Venezia,it Serie A,37,2339,26.0,29,8,1,3,3,6,3,0,0,0,44,0.07,0.25,12,27.3,17.1,3,FWMF,5cfc74fc
188,Lamine Yamal,144,2867,2024-2025,17,es ESP,Barcelona,es La Liga,35,2867,31.9,31,4,0,9,13,22,9,0,0,0,144,0.06,0.20,46,31.9,19.4,0,FW,82ec26c1
189,Nicolás Paz,109,2700,2024-2025,19,ar ARG,Como,it Serie A,35,2700,30.0,30,5,1,6,8,14,6,0,1,1,109,0.06,0.16,37,33.9,20.7,12,MFFW,01bb93d5
190,Álvaro García,71,2573,2024-2025,31,es ESP,Rayo Vallecano,es La Liga,36,2573,28.6,28,8,0,4,5,9,4,0,0,0,71,0.06,0.15,26,36.6,16.9,0,FWMF,90bbd822
191,Philipp Hofmann,54,2291,2024-2025,31,de GER,Bochum,de Bundesliga,32,2291,25.5,27,5,0,3,3,6,3,0,0,0,54,0.06,0.16,19,35.2,14.0,0,FW,877bc844
192,Dominic Calvert-Lewin,50,1620,2024-2025,27,eng ENG,Everton,eng Premier League,26,1620,18.0,19,7,0,3,1,4,3,0,0,0,50,0.06,0.16,19,38.0,12.3,0,FW,59e6e5bf
193,Paulo Dybala,47,1428,2024-2025,30,ar ARG,Roma,it Serie A,24,1428,15.9,16,8,7,6,3,9,3,3,3,0,47,0.06,0.20,15,31.9,21.1,6,FWMF,e0921a4f
194,Marcus Tavernier,57,1948,2024-2025,25,eng ENG,Bournemouth,eng Premier League,29,1948,21.6,20,9,0,3,5,8,3,0,0,0,57,0.05,0.18,17,29.8,21.1,4,FWMF,5c0da4a4
195,Matteo Politano,56,2835,2024-2025,30,it ITA,Napoli,it Serie A,37,2835,31.5,34,3,0,3,4,7,3,0,0,0,56,0.05,0.21,14,25.0,19.5,1,FWMF,5e861944
196,Julio Enciso,52,1174,2024-2025,20,py PAR,2 Teams,eng Premier League,25,1174,13.0,14,11,7,2,3,5,2,0,0,0,52,0.04,0.09,22,42.3,22.3,2,MFFW,9cfbad36
197,Farid El Melali,46,1911,2024-2025,27,dz ALG,Angers,fr Ligue 1,32,1911,21.2,22,10,0,2,3,5,2,0,0,0,46,0.04,0.14,14,30.4,21.9,7,FW,d21e361a
198,Abde Ezzalzouli,61,2004,2024-2025,22,ma MAR,Betis,es La Liga,32,2004,22.3,23,9,1,2,2,4,2,0,1,1,61,0.03,0.08,25,41.0,15.6,1,FWMF,bed68338
199,Sávio,55,1779,2024-2025,20,br BRA,Manchester City,eng Premier League,29,1779,19.8,21,8,7,1,8,9,1,0,0,0,55,0.02,0.05,21,38.2,17.6,1,FWMF,fe6e7156
200,Florian Sotoca,47,1807,2024-2025,33,fr FRA,Lens,fr Ligue 1,31,1807,20.1,22,9,0,1,1,2,1,0,0,0,47,0.02,0.06,18,38.3,14.7,0,FWMF,7a42d0df
201,Diego López,44,2763,2024-2025,22,es ESP,Valencia,es La Liga,38,2763,30.7,35,3,0,8,5,13,8,0,0,0,44,0.18,0.57,14,31.8,15.1,0,MFFW,c487901c
202,Takefusa Kubo,43,2388,2024-2025,23,jp JPN,Real Sociedad,es La Liga,36,2388,26.5,27,9,1,5,0,5,5,0,0,0,43,0.12,0.36,14,32.6,16.1,0,MFFW,16aa3654
203,Issa Soumaré,43,1911,2024-2025,23,sn SEN,Le Havre,fr Ligue 1,29,1911,21.2,21,8,1,5,4,9,5,0,0,0,43,0.12,0.26,19,44.2,16.5,2,FWMF,1d8aa290
204,Mostafa Mohamed,43,1261,2024-2025,26,eg EGY,Nantes,fr Ligue 1,30,1261,14.0,11,19,0,5,0,5,5,0,0,0,43,0.12,0.31,16,37.2,13.7,2,FW,595e6f3e
205,Cucho,43,1150,2024-2025,25,co COL,Betis,es La Liga,15,1150,12.8,14,1,1,5,1,6,5,0,0,0,43,0.12,0.45,11,25.6,15.9,0,FW,71b47ab9
206,Antony,43,1366,2024-2025,24,br BRA,Betis,es La Liga,17,1366,15.2,15,2,0,5,2,7,5,0,0,0,43,0.12,0.29,17,39.5,19.9,1,FW,99127249
207,Eddie Nketiah,43,1041,2024-2025,25,eng ENG,2 Teams,eng Premier League,29,1041,11.6,9,20,4,3,1,4,3,0,0,0,43,0.07,0.19,16,37.2,13.8,0,FW,a53649b7
208,Harry Wilson,43,1173,2024-2025,27,wls WAL,Fulham,eng Premier League,25,1173,13.0,12,13,3,6,1,7,6,0,0,0,43,0.14,0.35,17,39.5,18.0,1,FWMF,c6dc9ecd
209,Jacob Murphy,43,2385,2024-2025,29,eng ENG,Newcastle Utd,eng Premier League,35,2385,26.5,31,4,2,8,12,20,8,0,0,0,43,0.19,0.53,15,34.9,18.2,0,FW,de112b84
210,Enzo Millot,43,1858,2024-2025,22,fr FRA,Stuttgart,de Bundesliga,29,1858,20.6,22,7,2,6,5,11,6,0,1,1,43,0.14,0.35,17,39.5,16.6,0,MFFW,f76022e7
211,Maximilian Beier,42,1601,2024-2025,21,de GER,Dortmund,de Bundesliga,29,1601,17.8,17,12,1,8,5,13,8,0,0,0,42,0.19,0.62,13,31.0,12.6,0,FWMF,5db45ee5
212,Giacomo Raspadori,42,1112,2024-2025,24,it ITA,Napoli,it Serie A,26,1112,12.4,11,15,12,6,1,7,6,0,0,0,42,0.14,0.43,14,33.3,16.0,2,FWMF,6e058f06
213,Teun Koopmeiners,42,2000,2024-2025,26,nl NED,Juventus,it Serie A,28,2000,22.2,23,5,1,3,3,6,3,0,0,0,42,0.07,0.30,10,23.8,18.2,2,MFFW,a26fb8aa
214,Bryan Zaragoza,42,1856,2024-2025,23,es ESP,Osasuna,es La Liga,27,1856,20.6,22,5,1,1,6,7,1,0,0,0,42,0.02,0.08,13,31.0,20.2,0,FWMF,a96103b2
