,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Sh,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Sh,G/Sh▼,G/SoT,SoT,SoT%,Dist,FK,Pos,-9999
446,Eren Dinkçi,14,1204,2024-2025,22,de GER,Freiburg,de Bundesliga,23,1204,13.4,13,10,2,0,3,3,0,0,0,0,14,0.00,0.00,3,21.4,19.0,0,MFFW,4ccd8957
447,Lilian Raolisoa,14,1326,2024-2025,24,fr FRA,Angers,fr Ligue 1,29,1326,14.7,14,15,1,0,3,3,0,0,0,0,14,0.00,0.00,1,7.1,23.2,1,DFFW,79a793b7
448,Derrick Köhn,13,1356,2024-2025,25,de GER,Werder Bremen,de Bundesliga,27,1356,15.1,14,13,4,2,2,4,2,0,0,0,13,0.15,0.50,4,30.8,15.7,0,DFFW,b735b590
449,Leonardo Spinazzola,12,1527,2024-2025,31,it ITA,Napoli,it Serie A,27,1527,17.0,17,10,6,1,1,2,1,0,0,0,12,0.08,0.25,4,33.3,17.1,0,DFFW,3626daea
450,Gavi,11,1094,2024-2025,19,es ESP,Barcelona,es La Liga,26,1094,12.2,14,12,3,1,1,2,1,0,0,0,11,0.09,1.00,1,9.1,15.3,0,MFFW,19cae58d
451,Alessandro Zanoli,11,1727,2024-2025,23,it ITA,Genoa,it Serie A,31,1727,19.2,19,12,4,1,0,1,1,0,0,0,11,0.09,0.33,3,27.3,20.8,0,FWDF,3b12b11f
452,Pep Chavarría,11,2589,2024-2025,26,es ESP,Rayo Vallecano,es La Liga,34,2589,28.8,28,6,2,0,1,1,0,0,0,0,11,0.00,0.00,3,27.3,20.1,0,DFFW,63c5e56b
453,Loïc Nego,11,2466,2024-2025,33,hu HUN,Le Havre,fr Ligue 1,31,2466,27.4,28,3,3,0,0,0,0,0,0,0,11,0.00,0.00,2,18.2,17.1,0,DFFW,c3b6fa1e
454,Anuar,11,1732,2024-2025,29,ma MAR,Valladolid,es La Liga,26,1732,19.2,21,5,2,2,0,2,2,0,0,0,11,0.18,0.40,5,45.5,12.8,0,MFFW,c93231dc
455,Antoniu,10,1033,2024-2025,21,es ESP,Espanyol,es La Liga,26,1033,11.5,13,13,9,0,1,1,0,0,0,0,10,0.00,0.00,4,40.0,19.7,0,FWMF,af784a9e
456,Sorba Thomas,9,1335,2024-2025,24,wls WAL,Nantes,fr Ligue 1,25,1335,14.8,15,10,4,1,3,4,1,0,0,0,9,0.11,1.00,1,11.1,17.0,0,FWMF,8725a42e
457,Mario Götze,8,1555,2024-2025,32,de GER,Eint Frankfurt,de Bundesliga,24,1555,17.3,18,6,4,3,2,5,3,0,0,0,8,0.38,0.60,5,62.5,10.1,0,MFFW,9efa1d25
458,Adrià Altimira,7,1638,2024-2025,23,es ESP,Leganés,es La Liga,22,1638,18.2,19,3,14,0,0,0,0,0,0,0,7,0.00,0.00,2,28.6,24.1,0,DFFW,757a3431
459,Christopher Operi,7,1169,2024-2025,27,ci CIV,Le Havre,fr Ligue 1,13,1169,13.0,13,0,0,0,2,2,0,0,0,0,7,0.00,0.00,1,14.3,22.0,2,DFFW,914bb955
460,Ben Johnson,7,1357,2024-2025,24,eng ENG,Ipswich Town,eng Premier League,23,1357,15.1,14,9,9,1,2,3,1,0,0,0,7,0.14,0.33,3,42.9,12.6,0,DFFW,9319781b
461,Antoine Hainaut,6,1211,2024-2025,22,fr FRA,Parma,it Serie A,25,1211,13.5,10,15,12,2,0,2,2,0,0,0,6,0.33,0.67,3,50.0,19.1,0,DFFW,6503f220
462,Adama Boiro,5,1109,2024-2025,22,es ESP,Athletic Club,es La Liga,18,1109,12.3,13,5,18,0,0,0,0,0,0,0,5,0.00,,0,0.0,14.4,0,DFFW,e7992f7b
463,Marvin,5,1042,2024-2025,24,es ESP,Las Palmas,es La Liga,23,1042,11.6,9,14,1,0,0,0,0,0,0,0,5,0.00,,0,0.0,13.7,0,DFFW,efaefda0
