,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Won%,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Won,Lost,Won%,Pos,-9999
92,Myron Boadu,48.7,1042,2024-2025,23,nl NED,Bochum,de Bundesliga,19,1042,11.6,11,8,3,9,1,10,8,1,1,0,19,20,48.7,FW,5b479568
93,Robert Lewandowski,48.7,2667,2024-2025,35,pl POL,Barcelona,es La Liga,34,2667,29.6,32,2,2,27,2,29,24,3,4,1,37,39,48.7,FW,8d78e732
94,Charles De Ketelaere,48.6,2070,2024-2025,23,be BEL,Atalanta,it Serie A,36,2070,23.0,25,11,0,7,7,14,7,0,0,0,36,38,48.6,MFFW,2ef7c612
95,Irvin Cardona,48.6,1669,2024-2025,26,fr FRA,2 Teams,2 Comps,31,1669,18.5,18,13,2,6,4,10,6,0,1,1,18,19,48.6,FWMF,5e080f73
96,Beto,48.5,1534,2024-2025,26,gw GNB,Everton,eng Premier League,30,1534,17.0,15,15,8,8,0,8,8,0,0,0,99,105,48.5,FW,ed5c0319
97,Vincenzo Grifo,48.4,2432,2024-2025,31,it ITA,Freiburg,de Bundesliga,34,2432,27.0,31,3,0,8,11,19,8,0,3,3,15,16,48.4,FWMF,54e4866f
98,Daniel Maldini,48.4,1564,2024-2025,22,it ITA,2 Teams,it Serie A,30,1564,17.4,18,12,2,6,0,6,6,0,0,0,30,32,48.4,MFFW,801831fe
99,Unai Gómez,48.3,1284,2024-2025,21,es ESP,Athletic Club,es La Liga,32,1284,14.3,14,18,4,1,3,4,1,0,0,0,29,31,48.3,MFFW,37db6cae
100,Oliver McBurnie,48.3,1837,2024-2025,28,sct SCO,Las Palmas,es La Liga,34,1837,20.4,20,14,4,3,6,9,3,0,0,0,87,93,48.3,FW,78b8ac63
101,Nikola Vlašić,48.2,2117,2024-2025,26,hr CRO,Torino,it Serie A,30,2117,23.5,23,7,1,5,4,9,3,2,2,0,27,29,48.2,MFFW,aa8e289e
