,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Total,Total,Total,,,,,,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,-additional
Rk,Player,Cmp,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos,-9999
95,Jacob Murphy,688,2385,2024-2025,29,eng ENG,Newcastle Utd,eng Premier League,35,2385,26.5,31,4,2,8,12,20,8,0,0,0,688,1004,68.5,42,58,41,15,83,10412,3438,411,484,84.9,218,320,68.1,43,109,39.4,FW,de112b84
96,Robin Hack,684,2195,2024-2025,25,de GER,Gladbach,de Bundesliga,33,2195,24.4,27,6,1,4,7,11,4,0,0,0,684,898,76.2,32,52,34,12,95,10640,3174,384,439,87.5,210,260,80.8,60,117,51.3,FWMF,0174ba21
97,Ademola Lookman,684,2266,2024-2025,26,ng NGA,Atalanta,it Serie A,31,2266,25.2,28,3,2,15,5,20,14,1,1,0,684,944,72.5,61,29,43,13,73,9662,2659,436,502,86.9,178,256,69.5,42,96,43.8,MFFW,7c104bb7
98,Diego López,680,2763,2024-2025,22,es ESP,Valencia,es La Liga,38,2763,30.7,35,3,0,8,5,13,8,0,0,0,680,943,72.1,38,43,34,9,85,10541,2502,373,457,81.6,251,320,78.4,37,61,60.7,MFFW,c487901c
99,Vinicius Júnior,673,2264,2024-2025,24,br BRA,Real Madrid,es La Liga,30,2264,25.2,24,6,0,11,8,19,9,2,3,1,673,901,74.7,58,53,36,6,85,10433,2523,383,462,82.9,196,250,78.4,62,96,64.6,FW,7111d552
100,Morgan Rogers,664,3132,2024-2025,22,eng ENG,Aston Villa,eng Premier League,37,3132,34.8,37,0,0,8,10,18,8,0,0,0,664,907,73.2,51,73,56,3,123,9771,3327,374,460,81.3,203,267,76.0,49,65,75.4,FWMF,2e5915f1
101,Jadon Sancho,663,1775,2024-2025,24,eng ENG,Chelsea,eng Premier League,31,1775,19.7,19,12,1,3,4,7,3,0,0,0,663,803,82.6,38,28,48,0,90,8932,2093,416,465,89.5,208,250,83.2,14,27,51.9,FW,dbf053da
102,Iago Aspas,661,1754,2024-2025,36,es ESP,Celta Vigo,es La Liga,30,1754,19.5,19,11,3,10,5,15,5,5,6,1,661,877,75.4,38,74,35,4,132,10703,3064,349,429,81.4,201,253,79.4,73,105,69.5,FWMF,7dcf86f6
103,Timothy Weah,659,1648,2024-2025,24,us USA,Juventus,it Serie A,30,1648,18.3,18,12,2,5,2,7,5,0,0,0,659,787,83.7,19,38,13,6,56,10475,2680,342,368,92.9,275,311,88.4,30,62,48.4,DFFW,8eec784d
104,Dejan Kulusevski,658,2394,2024-2025,24,se SWE,Tottenham,eng Premier League,32,2394,26.6,27,5,0,7,4,11,7,0,0,0,658,893,73.7,65,62,52,6,124,9216,2920,394,457,86.2,203,260,78.1,32,79,40.5,MFFW,df3cda47
105,Mario Götze,656,1555,2024-2025,32,de GER,Eint Frankfurt,de Bundesliga,24,1555,17.3,18,6,4,3,2,5,3,0,0,0,656,846,77.5,34,56,19,1,88,9147,2783,404,454,89.0,188,243,77.4,32,72,44.4,MFFW,9efa1d25
106,Alejandro Garnacho,649,2208,2024-2025,20,ar ARG,Manchester Utd,eng Premier League,36,2208,24.5,23,13,0,6,2,8,6,0,0,0,649,823,78.9,37,22,25,5,56,9138,1181,405,458,88.4,183,223,82.1,31,52,59.6,MFFW,7aa8adfe
107,Viktor Tsyhankov,646,1925,2024-2025,26,ua UKR,Girona,es La Liga,27,1925,21.4,23,4,1,2,5,7,2,0,0,0,646,871,74.2,33,38,24,6,65,9793,2532,361,416,86.8,192,259,74.1,52,118,44.1,FWMF,f7e87032
108,Sebastian Nanasi,643,2129,2024-2025,22,se SWE,Strasbourg,fr Ligue 1,31,2129,23.7,26,5,1,6,4,10,6,0,0,0,643,812,79.2,37,74,39,2,126,9577,2783,385,439,87.7,204,251,81.3,34,78,43.6,MFFW,ce747d2a
109,Dennis Man,631,2007,2024-2025,25,ro ROU,Parma,it Serie A,33,2007,22.3,23,10,2,4,4,8,4,0,0,0,631,793,79.6,45,46,25,5,60,8923,2252,397,464,85.6,167,200,83.5,39,66,59.1,FWMF,2079b3cc
110,Yunus Musah,631,1582,2024-2025,21,us USA,Milan,it Serie A,29,1582,17.6,19,10,5,0,2,2,0,0,0,0,631,724,87.2,23,60,17,7,84,10809,2425,289,320,90.3,279,313,89.1,52,65,80.0,MFFW,b51b1b9c
111,Rafael Leão,630,2335,2024-2025,25,pt POR,Milan,it Serie A,34,2335,25.9,25,9,2,8,8,16,8,0,0,0,630,849,74.2,58,37,51,10,93,10407,2763,320,397,80.6,257,320,80.3,42,77,54.5,FW,20730eae
112,Rémy Cabella,628,1019,2024-2025,34,fr FRA,Lille,fr Ligue 1,23,1019,11.3,12,11,4,1,2,3,1,0,0,0,628,762,82.4,26,39,25,8,77,8904,2413,371,413,89.8,208,248,83.9,24,45,53.3,FWMF,148e136f
113,Álex Berenguer,628,2361,2024-2025,29,es ESP,Athletic Club,es La Liga,36,2361,26.2,28,8,1,6,7,13,6,0,1,1,628,954,65.8,46,49,28,11,78,10110,2537,335,401,83.5,214,292,73.3,57,186,30.6,FWMF,dc1c2fce
114,Kingsley Coman,624,1293,2024-2025,28,fr FRA,Bayern Munich,de Bundesliga,28,1293,14.4,14,14,0,5,4,9,5,0,0,0,624,740,84.3,32,26,28,5,45,9720,1512,337,373,90.3,250,287,87.1,27,48,56.3,FW,042e8a49
115,Antony,622,1366,2024-2025,24,br BRA,Betis,es La Liga,17,1366,15.2,15,2,0,5,2,7,5,0,0,0,622,768,81.0,36,34,43,7,67,8403,2211,400,452,88.5,155,201,77.1,29,53,54.7,FW,99127249
116,Bryan Gil,621,1738,2024-2025,23,es ESP,Girona,es La Liga,25,1738,19.3,21,4,0,3,3,6,3,0,0,0,621,759,81.8,21,27,33,7,74,8853,1808,380,420,90.5,198,238,83.2,23,50,46.0,FWMF,7b5ab7f2
117,Nikola Vlašić,613,2128,2024-2025,26,hr CRO,Torino,it Serie A,30,2128,23.6,23,7,1,5,4,9,3,2,2,0,613,768,79.8,32,57,24,4,94,8813,2258,355,410,86.6,207,257,80.5,26,40,65.0,MFFW,aa8e289e
118,Gustav Isaksen,610,2233,2024-2025,23,dk DEN,Lazio,it Serie A,37,2233,24.8,29,8,0,4,2,6,4,0,0,0,610,796,76.6,35,19,24,10,46,10259,1771,313,352,88.9,224,281,79.7,59,105,56.2,FW,5715bb71
119,Denzel Dumfries,603,1959,2024-2025,28,nl NED,Inter,it Serie A,29,1959,21.8,20,9,4,7,2,9,7,0,0,0,603,831,72.6,21,22,21,9,51,9776,2992,322,377,85.4,229,332,69.0,45,76,59.2,DFFW,481c9ece
120,Jeremy Doku,603,1526,2024-2025,22,be BEL,Manchester City,eng Premier League,29,1526,17.0,16,13,4,3,6,9,3,0,0,0,603,762,79.1,32,12,48,6,69,8464,1506,400,463,86.4,183,226,81.0,14,21,66.7,FWMF,fffea3e5
121,Iliman Ndiaye,602,2444,2024-2025,24,sn SEN,Everton,eng Premier League,33,2444,27.2,29,4,0,9,0,9,7,2,2,0,602,736,81.8,18,42,14,5,59,9038,1875,349,402,86.8,200,230,87.0,38,55,69.1,FW,5ed97752
122,Yassine Kechta,599,2117,2024-2025,22,ma MAR,Le Havre,fr Ligue 1,31,2117,23.5,25,6,2,2,0,2,2,0,0,0,599,756,79.2,15,60,18,5,97,10281,3000,289,328,88.1,239,284,84.2,58,97,59.8,MFFW,abefc3af
123,Paulo Dybala,596,1428,2024-2025,30,ar ARG,Roma,it Serie A,24,1428,15.9,16,8,7,6,3,9,3,3,3,0,596,729,81.8,40,47,26,5,79,9980,2382,315,346,91.0,177,213,83.1,72,114,63.2,FWMF,e0921a4f
124,Jarrod Bowen,584,2980,2024-2025,27,eng ENG,West Ham,eng Premier League,34,2980,33.1,34,0,0,13,8,21,12,1,1,0,584,815,71.7,51,41,46,8,91,9476,2687,326,388,84.0,187,250,74.8,54,94,57.4,FWMF,79c84d1c
125,Adrian Beck,581,1609,2024-2025,27,de GER,Heidenheim,de Bundesliga,32,1609,17.9,18,14,1,4,1,5,4,0,0,0,581,725,80.1,21,53,18,4,69,9901,2258,274,329,83.3,233,267,87.3,55,76,72.4,MFFW,616c09f5
126,Derrick Köhn,581,1356,2024-2025,25,de GER,Werder Bremen,de Bundesliga,27,1356,15.1,14,13,4,2,2,4,2,0,0,0,581,733,79.3,16,22,16,6,39,8631,2102,313,352,88.9,228,282,80.9,18,40,45.0,DFFW,b735b590
127,Patrick Dorgu,580,1841,2024-2025,19,dk DEN,Lecce,it Serie A,21,1841,20.5,21,0,1,3,1,4,3,0,0,0,580,748,77.5,19,42,21,8,54,9714,2661,280,324,86.4,231,275,84.0,51,96,53.1,DFFW,e6536124
128,Gianluca Caprari,579,1666,2024-2025,31,it ITA,Monza,it Serie A,34,1666,18.5,18,16,0,3,2,5,1,2,2,0,579,732,79.1,30,39,21,2,81,9227,2016,296,318,93.1,207,257,80.5,49,94,52.1,MFFW,54e53b7e
129,Keito Nakamura,575,2663,2024-2025,24,jp JPN,Reims,fr Ligue 1,32,2663,29.6,31,1,0,11,2,13,11,0,0,0,575,775,74.2,26,32,24,10,82,8999,1919,310,372,83.3,192,256,75.0,44,78,56.4,FWMF,d97af612
130,Brahim Díaz,573,1395,2024-2025,24,ma MAR,Real Madrid,es La Liga,31,1395,15.5,16,15,0,4,2,6,4,0,0,0,573,660,86.8,23,56,19,0,74,7322,1909,393,432,91.0,141,163,86.5,14,21,66.7,FWMF,407feb71
131,Alassane Pléa,573,1920,2024-2025,31,fr FRA,Gladbach,de Bundesliga,30,1920,21.3,24,6,2,11,4,15,10,1,1,0,573,795,72.1,25,80,35,8,116,9118,3029,309,372,83.1,190,256,74.2,48,76,63.2,MFFW,bc6bd723
132,Carlos Soler,570,1419,2024-2025,27,es ESP,West Ham,eng Premier League,31,1419,15.8,14,17,2,1,1,2,1,0,0,0,570,669,85.2,18,43,13,0,56,8890,2414,308,326,94.5,212,246,86.2,32,59,54.2,MFFW,fed17f5a
133,Jonathan David,563,2562,2024-2025,24,ca CAN,Lille,fr Ligue 1,32,2562,28.5,28,4,0,16,5,21,10,6,7,1,563,686,82.1,36,29,26,0,65,7502,1225,340,393,86.5,170,193,88.1,17,23,73.9,FW,ce50fd99
134,Kamory Doumbia,561,1334,2024-2025,21,ml MLI,Brest,fr Ligue 1,30,1334,14.8,13,17,1,3,2,5,3,0,0,0,561,697,80.5,26,56,9,1,72,9267,2216,269,293,91.8,220,266,82.7,48,92,52.2,MFFW,9226aa22
135,Amine Gouiri,561,2097,2024-2025,24,dz ALG,2 Teams,fr Ligue 1,33,2097,23.3,23,10,0,13,5,18,13,0,0,0,561,705,79.6,34,29,17,0,66,7722,1745,346,382,90.6,128,162,79.0,39,79,49.4,FWMF,aad56ca3
136,Marvin Ducksch,560,2437,2024-2025,30,de GER,Werder Bremen,de Bundesliga,32,2437,27.1,30,2,0,8,8,16,7,1,2,1,560,908,61.7,61,43,30,8,86,9835,3215,243,319,76.2,185,291,63.6,87,200,43.5,FW,638a4d71
137,Omar Marmoush,552,2640,2024-2025,25,eg EGY,2 Teams,2 Comps,33,2640,29.3,31,2,0,22,9,31,20,2,2,0,552,748,73.8,49,40,51,5,87,8311,2623,323,386,83.7,156,209,74.6,48,99,48.5,FWMF,0e0102eb
138,Bukayo Saka,552,1741,2024-2025,22,eng ENG,Arsenal,eng Premier League,25,1741,19.3,20,5,0,6,10,16,5,1,1,0,552,731,75.5,58,15,38,12,70,8408,2487,334,371,90.0,154,214,72.0,45,92,48.9,FWMF,bc7dc64d
139,Fermin López,552,1258,2024-2025,21,es ESP,Barcelona,es La Liga,28,1258,14.0,12,16,3,6,5,11,6,0,0,0,552,675,81.8,29,65,20,6,79,8398,2128,313,350,89.4,174,210,82.9,37,63,58.7,MFFW,c1fe5f0b
140,Félix Lemaréchal,551,1789,2024-2025,20,fr FRA,Strasbourg,fr Ligue 1,27,1789,19.9,20,7,5,4,3,7,4,0,0,0,551,694,79.4,29,35,10,4,58,8118,1519,318,370,85.9,184,217,84.8,31,56,55.4,MFFW,8ca9415f
141,Jon Guridi,547,2101,2024-2025,29,es ESP,Alavés,es La Liga,33,2101,23.3,27,6,3,3,1,4,2,1,1,0,547,737,74.2,17,55,11,3,79,8208,2011,295,383,77.0,195,243,80.2,32,49,65.3,MFFW,4c0a6a48
142,Tete Morente,545,2034,2024-2025,27,es ESP,Lecce,it Serie A,31,2034,22.6,23,8,5,3,2,5,3,0,0,0,545,729,74.8,25,54,23,9,102,9087,2766,277,310,89.4,193,246,78.5,54,103,52.4,FWMF,004d185e
143,Florian Thauvin,544,1973,2024-2025,31,fr FRA,Udinese,it Serie A,25,1973,21.9,24,1,0,8,3,11,7,1,3,2,544,819,66.4,39,58,43,20,90,9660,3359,240,289,83.0,183,276,66.3,84,169,49.7,FWMF,2b9fdeea
144,Alexis Claude-Maurice,543,2127,2024-2025,26,fr FRA,Augsburg,de Bundesliga,28,2127,23.6,25,3,3,9,2,11,9,0,0,0,543,655,82.9,21,38,21,5,61,8213,1411,292,342,85.4,205,229,89.5,31,44,70.5,MFFW,741418c3
145,Álvaro García,543,2573,2024-2025,31,es ESP,Rayo Vallecano,es La Liga,36,2573,28.6,28,8,0,4,5,9,4,0,0,0,543,841,64.6,50,27,44,18,71,8345,2525,296,379,78.1,183,273,67.0,37,103,35.9,FWMF,90bbd822
146,Abde Ezzalzouli,542,2004,2024-2025,22,ma MAR,Betis,es La Liga,32,2004,22.3,23,9,1,2,2,4,2,0,1,1,542,757,71.6,27,42,19,2,68,6695,1928,373,454,82.2,131,191,68.6,11,37,29.7,FWMF,bed68338
147,Anthony Elanga,540,2516,2024-2025,22,se SWE,Nott'ham Forest,eng Premier League,38,2516,28.0,31,7,0,6,11,17,6,0,0,0,540,827,65.3,50,32,26,8,63,8021,2660,318,387,82.2,150,232,64.7,46,131,35.1,FWMF,2fba6108
148,Christopher Operi,533,1169,2024-2025,27,ci CIV,Le Havre,fr Ligue 1,13,1169,13.0,13,0,0,0,2,2,0,0,0,0,533,747,71.4,24,36,20,13,52,9424,3412,236,259,91.1,228,295,77.3,58,155,37.4,DFFW,914bb955
149,Mohamed Amoura,532,2487,2024-2025,24,dz ALG,Wolfsburg,de Bundesliga,31,2487,27.6,29,2,0,10,9,19,8,2,2,0,532,757,70.3,35,29,26,5,61,8149,1608,292,395,73.9,163,204,79.9,45,64,70.3,FW,6597f8b6
150,Noni Madueke,530,2052,2024-2025,22,eng ENG,Chelsea,eng Premier League,32,2052,22.8,27,5,1,7,3,10,7,0,0,0,530,685,77.4,32,16,35,8,69,7705,1853,325,377,86.2,164,215,76.3,22,41,53.7,FW,bf34eebd
151,Lassine Sinayoko,528,2315,2024-2025,24,ml MLI,Auxerre,fr Ligue 1,34,2315,25.7,25,9,0,5,8,13,4,1,1,0,528,688,76.7,37,28,17,3,62,7014,1529,325,389,83.5,151,184,82.1,15,27,55.6,FWMF,5e5249c8
152,Iñaki Williams,525,2660,2024-2025,30,gh GHA,Athletic Club,es La Liga,35,2660,29.6,29,6,0,6,8,14,6,0,0,0,525,830,63.3,43,38,51,15,76,7922,2296,297,395,75.2,193,286,67.5,23,76,30.3,FW,6a99e0b1
153,Aleksandr Golovin,523,1159,2024-2025,28,ru RUS,Monaco,fr Ligue 1,19,1159,12.9,13,6,2,3,0,3,3,0,0,0,523,678,77.1,24,77,31,3,112,8301,3070,281,337,83.4,170,207,82.1,54,92,58.7,MFFW,3708e9fa
154,Yeremi Pino,523,1958,2024-2025,21,es ESP,Villarreal,es La Liga,34,1958,21.8,25,9,1,4,7,11,4,0,0,0,523,708,73.9,37,35,32,8,66,7895,2225,298,366,81.4,181,229,79.0,29,45,64.4,MFFW,540ec57b
155,Javi Puado,521,2989,2024-2025,26,es ESP,Espanyol,es La Liga,35,2989,33.2,35,0,0,12,4,16,7,5,5,0,521,678,76.8,22,36,15,4,75,7991,1449,271,323,83.9,192,229,83.8,35,66,53.0,FWMF,2683eda7
156,Dani Olmo,520,1225,2024-2025,26,es ESP,Barcelona,es La Liga,25,1225,13.6,13,12,2,10,3,13,8,2,2,0,520,641,81.1,26,49,29,1,81,7634,2216,306,342,89.5,152,183,83.1,33,47,70.2,MFFW,ae44e8e2
157,Takumi Minamino,520,2248,2024-2025,29,jp JPN,Monaco,fr Ligue 1,31,2248,25.0,27,4,0,6,3,9,6,0,0,0,520,736,70.7,40,66,33,0,114,7341,2545,314,392,80.1,164,224,73.2,20,48,41.7,MFFW,f833a830
158,Dan Ndoye,519,2155,2024-2025,23,ch SUI,Bologna,it Serie A,30,2155,23.9,26,4,1,8,4,12,6,2,2,0,519,704,73.7,27,39,26,2,74,8220,1854,287,337,85.2,181,235,77.0,35,70,50.0,FW,8e697a8f
159,Alexander Isak,519,2774,2024-2025,24,se SWE,Newcastle Utd,eng Premier League,34,2774,30.8,34,0,0,23,6,29,19,4,4,0,519,689,75.3,41,35,31,1,88,7434,1644,306,364,84.1,163,207,78.7,26,42,61.9,FW,8e92be30
160,Paul Wanner,518,1786,2024-2025,18,de GER,Heidenheim,de Bundesliga,29,1786,19.8,20,9,4,3,2,5,2,1,1,0,518,709,73.1,20,43,13,3,64,7975,2039,265,317,83.6,185,234,79.1,40,92,43.5,MFFW,cb64672e
161,Raúl Moro,517,2350,2024-2025,21,es ESP,Valladolid,es La Liga,33,2350,26.1,26,7,0,4,5,9,4,0,0,0,517,797,64.9,44,41,38,22,81,10214,3063,224,284,78.9,180,258,69.8,102,189,54.0,MFFW,919dd4b1
162,Osame Sahraoui,515,1301,2024-2025,23,ma MAR,Lille,fr Ligue 1,30,1301,14.5,10,20,1,3,3,6,3,0,0,0,515,614,83.9,29,47,41,3,89,7130,2046,315,352,89.5,159,181,87.8,20,27,74.1,FWMF,6f9fa232
163,Harry Kane,509,2394,2024-2025,31,eng ENG,Bayern Munich,de Bundesliga,31,2394,26.6,28,3,0,26,9,35,17,9,9,0,509,645,78.9,35,56,36,2,97,9141,2258,237,284,83.5,203,234,86.8,59,83,71.1,FW,21a66f6a
164,Angelo Fulgini,509,1055,2024-2025,27,fr FRA,Lens,fr Ligue 1,23,1055,11.7,11,12,6,1,1,2,1,0,0,0,509,652,78.1,28,31,27,8,69,7393,1993,283,325,87.1,157,196,80.1,34,70,48.6,MFFW,4b96c347
165,Arthur Atta,509,1259,2024-2025,21,fr FRA,Udinese,it Serie A,27,1259,14.0,12,15,3,0,1,1,0,0,0,0,509,633,80.4,18,42,8,2,57,7890,1920,271,313,86.6,184,208,88.5,30,54,55.6,MFFW,d3ddf88b
166,Anass Zaroury,506,1416,2024-2025,23,ma MAR,Lens,fr Ligue 1,28,1416,15.7,16,12,4,2,2,4,2,0,0,0,506,746,67.8,35,39,34,13,65,8251,2733,266,327,81.3,178,247,72.1,44,108,40.7,FWMF,07d65234
167,Moses Simon,505,2627,2024-2025,29,ng NGA,Nantes,fr Ligue 1,32,2627,29.2,31,1,0,8,10,18,4,4,4,0,505,815,62.0,56,27,41,24,59,8898,2519,233,295,79.0,204,306,66.7,56,141,39.7,FWMF,5f3eaaf5
168,Tyler Dibling,504,1884,2024-2025,18,eng ENG,Southampton,eng Premier League,33,1884,20.9,20,13,1,2,0,2,2,0,0,0,504,620,81.3,20,27,20,1,64,7544,1553,286,316,90.5,181,212,85.4,22,48,45.8,FWMF,bdcc89ae
169,Gabriel Martinelli,499,2305,2024-2025,23,br BRA,Arsenal,eng Premier League,33,2305,25.6,25,8,2,8,4,12,8,0,0,0,499,699,71.4,40,11,37,15,52,7113,1534,324,385,84.2,135,193,69.9,26,52,50.0,FWMF,48a5a5d6
170,Nicolas Pépé,499,1509,2024-2025,29,ci CIV,Villarreal,es La Liga,28,1509,16.8,15,13,0,3,6,9,3,0,0,0,499,631,79.1,33,25,27,3,60,6872,1622,300,329,91.2,145,185,78.4,29,51,56.9,FWMF,57e3f0c7
171,Mitchel Bakker,499,1147,2024-2025,24,nl NED,Lille,fr Ligue 1,24,1147,12.7,14,10,3,3,2,5,3,0,0,0,499,641,77.8,23,42,27,11,57,8228,2642,252,290,86.9,188,235,80.0,45,75,60.0,FWDF,a8567629
172,Dani Rodríguez,498,2186,2024-2025,36,es ESP,Mallorca,es La Liga,37,2186,24.3,26,11,0,4,7,11,4,0,0,0,498,715,69.7,33,42,17,6,78,8276,2537,257,313,82.1,171,226,75.7,53,129,41.1,MFFW,70f8e0bd
173,Serge Gnabry,498,1250,2024-2025,29,de GER,Bayern Munich,de Bundesliga,27,1250,13.9,13,14,2,7,5,12,7,0,1,1,498,597,83.4,24,21,21,2,48,7268,1449,316,354,89.3,149,180,82.8,21,30,70.0,FWMF,88e357ef
174,Jacob Ramsey,497,1636,2024-2025,23,eng ENG,Aston Villa,eng Premier League,29,1636,18.2,19,10,0,1,3,4,1,0,0,0,497,586,84.8,21,31,21,1,68,6645,1578,334,366,91.3,133,159,83.6,15,20,75.0,FWMF,1544f145
175,Nico Williams,497,2005,2024-2025,22,es ESP,Athletic Club,es La Liga,29,2005,22.3,22,7,0,5,5,10,5,0,0,0,497,705,70.5,40,23,29,8,69,7797,1800,283,338,83.7,160,214,74.8,39,88,44.3,FW,afdc14d7
176,Aitor Ruibal,495,1320,2024-2025,28,es ESP,Betis,es La Liga,29,1320,14.7,13,16,2,1,3,4,1,0,0,0,495,612,80.9,20,36,12,6,50,7589,3113,259,277,93.5,183,221,82.8,34,72,47.2,DFFW,a55d8df5
177,Boulaye Dia,494,2199,2024-2025,27,sn SEN,Lazio,it Serie A,35,2199,24.4,27,8,2,9,3,12,9,0,0,0,494,591,83.6,26,37,7,0,51,7767,1110,245,289,84.8,188,206,91.3,35,42,83.3,MFFW,244bc2c8
178,Malick Fofana,494,1599,2024-2025,19,be BEL,Lyon,fr Ligue 1,29,1599,17.8,16,13,0,5,4,9,5,0,0,0,494,638,77.4,25,20,32,13,45,6737,1373,323,367,88.0,135,175,77.1,17,37,45.9,FW,8236f673
179,Juan Cruz,488,2272,2024-2025,24,es ESP,Leganés,es La Liga,34,2272,25.2,26,8,4,5,4,9,5,0,0,0,488,716,68.2,24,34,32,14,66,7691,2934,266,323,82.4,170,241,70.5,38,101,37.6,FWMF,cc2dd8a5
180,Hugo Ekitike,486,2585,2024-2025,22,fr FRA,Eint Frankfurt,de Bundesliga,33,2585,28.7,31,2,0,15,8,23,14,1,3,2,486,644,75.5,44,24,31,4,53,6414,1191,312,377,82.8,118,155,76.1,21,34,61.8,FW,5b92d896
181,Nicolás González,484,1767,2024-2025,26,ar ARG,Juventus,it Serie A,26,1767,19.6,23,3,1,3,2,5,3,0,0,0,484,637,76.0,19,28,19,1,69,7755,1634,236,286,82.5,197,234,84.2,33,55,60.0,FWMF,2374aaca
182,Adrià Altimira,483,1638,2024-2025,23,es ESP,Leganés,es La Liga,22,1638,18.2,19,3,14,0,0,0,0,0,0,0,483,615,78.5,11,34,10,2,42,7731,2148,255,292,87.3,186,237,78.5,34,61,55.7,DFFW,757a3431
183,Pedro,482,1108,2024-2025,37,es ESP,Lazio,it Serie A,30,1108,12.3,6,24,6,10,1,11,8,2,2,0,482,604,79.8,22,53,25,5,76,7852,1822,254,281,90.4,173,208,83.2,40,77,51.9,FWMF,3ca7254a
184,João Pedro,482,1957,2024-2025,22,br BRA,Brighton,eng Premier League,27,1957,21.7,23,4,0,10,6,16,5,5,5,0,482,661,72.9,30,42,36,5,78,6847,1766,300,381,78.7,133,177,75.1,29,44,65.9,FWMF,e8832875
185,Romain Del Castillo,480,1270,2024-2025,28,fr FRA,Brest,fr Ligue 1,26,1270,14.1,14,12,0,6,4,10,3,3,4,1,480,688,69.8,37,44,26,11,61,8019,2803,240,299,80.3,162,213,76.1,56,120,46.7,FW,0be95d34
186,Cody Gakpo,480,1952,2024-2025,25,nl NED,Liverpool,eng Premier League,35,1952,21.7,23,12,0,10,4,14,10,0,0,0,480,634,75.7,38,24,27,8,52,6870,1656,298,343,86.9,149,225,66.2,19,36,52.8,FW,1971591f
187,Manuel Fuster,478,1008,2024-2025,26,es ESP,Las Palmas,es La Liga,28,1008,11.2,8,20,10,2,1,3,2,0,0,0,478,624,76.6,28,56,24,5,71,8055,2300,245,277,88.4,152,194,78.4,60,107,56.1,FWMF,618f396a
188,Yann Gboho,478,2346,2024-2025,23,fr FRA,Toulouse,fr Ligue 1,31,2346,26.1,27,4,0,5,4,9,5,0,0,0,478,644,74.2,30,53,28,0,103,6718,2050,280,334,83.8,154,195,79.0,19,32,59.4,MFFW,6be41a31
189,Arnaud Kalimuendo,477,2593,2024-2025,22,fr FRA,Rennes,fr Ligue 1,33,2593,28.8,31,2,0,17,3,20,12,5,8,3,477,605,78.8,19,36,14,1,72,7080,1245,254,305,83.3,150,179,83.8,33,40,82.5,FWMF,bf4c41f9
190,Jean-Ricner Bellegarde,475,1695,2024-2025,26,fr FRA,Wolves,eng Premier League,35,1695,18.8,20,15,2,2,7,9,2,0,0,0,475,599,79.3,27,30,18,8,43,7404,1436,271,304,89.1,152,188,80.9,36,62,58.1,MFFW,10f0fdd3
191,Harvey Barnes,474,1766,2024-2025,26,eng ENG,Newcastle Utd,eng Premier League,33,1766,19.6,17,16,1,9,4,13,9,0,0,0,474,607,78.1,26,25,41,9,83,6642,1989,302,348,86.8,149,204,73.0,14,26,53.8,FW,3ea50f67
192,Thomas Müller,473,1234,2024-2025,34,de GER,Bayern Munich,de Bundesliga,30,1234,13.7,12,18,4,1,4,5,1,0,0,0,473,631,75.0,35,24,24,12,50,6759,1456,294,352,83.5,127,172,73.8,27,43,62.8,MFFW,3c6089ab
193,Lautaro Martínez,472,2580,2024-2025,26,ar ARG,Inter,it Serie A,31,2580,28.7,31,0,1,12,3,15,12,0,0,0,472,634,74.4,36,41,22,1,68,7494,1609,264,324,81.5,152,198,76.8,41,56,73.2,FW,f7036e1c
194,Yaser Asprilla,471,1414,2024-2025,20,co COL,Girona,es La Liga,27,1414,15.7,15,12,3,3,1,4,3,0,0,0,471,653,72.1,24,35,38,9,77,8613,2194,219,257,85.2,184,239,77.0,62,115,53.9,FWMF,d139daf9
195,Tim Kleindienst,466,2744,2024-2025,28,de GER,Gladbach,de Bundesliga,31,2744,30.5,31,0,0,16,7,23,15,1,2,1,466,765,60.9,29,30,22,1,63,6509,1615,282,409,68.9,138,216,63.9,24,43,55.8,FW,258a6f4d
196,Ludovic Ajorque,462,2508,2024-2025,30,fr FRA,Brest,fr Ligue 1,31,2508,27.9,29,2,0,13,2,15,13,0,1,1,462,671,68.9,35,29,11,1,41,6965,969,254,354,71.8,147,198,74.2,35,48,72.9,FW,462475ed
197,Dwight McNeil,461,1376,2024-2025,24,eng ENG,Everton,eng Premier League,21,1376,15.3,15,6,0,4,6,10,4,0,0,0,461,619,74.5,37,40,36,10,69,8501,2790,215,246,87.4,165,200,82.5,70,136,51.5,MFFW,fc15fb84
198,Stephy Mavididi,460,1628,2024-2025,26,eng ENG,Leicester City,eng Premier League,30,1628,18.1,16,14,3,4,1,5,4,0,0,0,460,613,75.0,22,32,26,7,57,6191,1429,286,314,91.1,124,184,67.4,18,43,41.9,FW,30144daa
199,Lucas Beltrán,459,1969,2024-2025,23,ar ARG,Fiorentina,it Serie A,33,1969,21.9,21,12,4,5,4,9,3,2,3,1,459,591,77.7,29,38,17,3,64,6934,1421,245,294,83.3,161,197,81.7,26,44,59.1,FWMF,482d2bc3
